Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
COMPUTATIONAL PARTICLE MECHANICS,COMPUT PART MECH,GERMANY,X,,,
COMPUTATIONAL STATISTICS,COMPUTATION STAT,GERMANY,X,,,
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,NETHERLANDS,X,,,
COMPUTATIONAL THERMAL SCIENCES,COMPUT THERM SCI,UNITED STATES,,,,X
COMPUTATIONAL TOXICOLOGY,COMPUT TOXICOL,NETHERLANDS,,,,X
COMPUTATIONAL URBAN SCIENCE,COMPUT URBAN SCI,PEOPLES R CHINA,,,,X
COMPUTATIONAL VISUAL MEDIA,COMPUT VIS MEDIA,PEOPLES R CHINA,X,,,
COMPUTER,COMPUTER,UNITED STATES,X,,,
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,NETHERLANDS,X,,,
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,ENGLAND,X,,,
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,UNITED STATES,X,,,
COMPUTER ASSISTED LANGUAGE LEARNING,COMPUT ASSIST LANG L,ENGLAND,,X,X,
COMPUTER ASSISTED SURGERY,COMPUT ASSIST SURG,ENGLAND,X,,,
COMPUTER COMMUNICATIONS,COMPUT COMMUN,NETHERLANDS,X,,,
COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,ENGLAND,X,,,
COMPUTER JOURNAL,COMPUT J,ENGLAND,X,,,
COMPUTER LAW & SECURITY REVIEW,COMPUT LAW SECUR REV,ENGLAND,,X,,
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,NETHERLANDS,X,,,
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,NETHERLANDS,X,,,
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,ENGLAND,X,,,
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION,COMP M BIO BIO E-IV,ENGLAND,,,,X
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,UNITED STATES,X,,X,
COMPUTER NETWORKS,COMPUT NETW,NETHERLANDS,X,,,
COMPUTER OPTICS,COMPUT OPT,RUSSIA,,,,X
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,NETHERLANDS,X,,,
COMPUTER SCIENCE AND INFORMATION SYSTEMS,COMPUT SCI INF SYST,SERBIA,X,,,
COMPUTER SCIENCE EDUCATION,COMPUT SCI EDUC,ENGLAND,,,,X
COMPUTER SCIENCE JOURNAL OF MOLDOVA,COMPUT SCI J MOLD,MOLDOVA,,,,X
COMPUTER SCIENCE REVIEW,COMPUT SCI REV,NETHERLANDS,X,,,
COMPUTER SCIENCE-AGH,COMPUT SCI-AGH,POLAND,,,,X
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,ENGLAND,X,,,
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,NETHERLANDS,X,,,
COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING AND WORK PRACTICES,COMPUT SUPP COOP W J,NETHERLANDS,X,,,
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,UNITED STATES,X,,,
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,UNITED STATES,X,,,
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,ENGLAND,X,,,
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,UNITED STATES,X,,,
COMPUTERS,COMPUTERS,SWITZERLAND,,,,X
COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,UNITED STATES,X,,,
COMPUTERS & EDUCATION,COMPUT EDUC,ENGLAND,X,X,,
COMPUTERS & EDUCATION: X REALITY,COMPUT EDUC-X REAL,ENGLAND,,,,X
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,ENGLAND,X,,,
COMPUTERS & FLUIDS,COMPUT FLUIDS,ENGLAND,X,,,
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,ENGLAND,X,,,
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,ENGLAND,X,,,
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,ENGLAND,X,,,
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,ENGLAND,X,,,
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,ENGLAND,X,,,
COMPUTERS & SECURITY,COMPUT SECUR,ENGLAND,X,,,
COMPUTERS & STRUCTURES,COMPUT STRUCT,ENGLAND,X,,,
COMPUTERS AND COMPOSITION,COMPUT COMPOS,UNITED STATES,,,,X
COMPUTERS AND CONCRETE,COMPUT CONCRETE,SOUTH KOREA,X,,,
COMPUTERS AND EDUCATION OPEN,COMPUT EDUC OPEN,ENGLAND,,,,X
COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,COMPUT EDUC-ARTIF IN,ENGLAND,,,,X
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,ENGLAND,X,,,
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,ENGLAND,X,,,
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,COMPUT ENVIRON URBAN,ENGLAND,,X,,
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,UNITED STATES,,X,,
COMPUTERS IN HUMAN BEHAVIOR REPORTS,COMPUT HUM BEHAV REP,ENGLAND,,,,X
COMPUTERS IN INDUSTRY,COMPUT IND,NETHERLANDS,X,,,
COMPUTERS IN THE SCHOOLS,COMPUT SCH,UNITED STATES,,,,X
COMPUTING,COMPUTING,AUSTRIA,X,,,
COMPUTING AND INFORMATICS,COMPUT INFORM,SLOVAKIA,X,,,
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,UNITED STATES,X,,,
COMUNICACION Y HOMBRE,COMUN HOMBRE,SPAIN,,,,X
COMUNICACION Y MEDIOS,COMUN MEDIOS,CHILE,,,,X
COMUNICACION Y SOCIEDAD-GUADALAJARA,COMUN SOC-GUADALAJ,MEXICO,,,,X
COMUNICACIO-REVISTA DE RECERCA I D ANALISI,COMUNICACIO,SPAIN,,,,X
COMUNICACOES,COMUNICACOES,BRAZIL,,,,X
COMUNICAZIONE FILOSOFICA,COMUN FILOS,ITALY,,,,X
COMUNIDAD Y SALUD,COMUNIDAD SALUD,VENEZUELA,,,,X
CON A DE ANIMACION,CON A ANIMAC,SPAIN,,,,X
CONCENTRIC-LITERARY AND CULTURAL STUDIES,CONCENTRIC,TAIWAN,,,X,
CONCENTRIC-STUDIES IN LINGUISTICS,CONCENTRIC-STUD LING,TAIWAN,,,,X
CONCEPTS IN MAGNETIC RESONANCE PART A,CONCEPT MAGN RESON A,UNITED STATES,X,,,
CONCRETE OPERATORS,CONCR OPERATORS,POLAND,,,,X
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,ENGLAND,X,,,
CONDENSED MATTER,CONDENS MATTER,SWITZERLAND,,,,X
CONDENSED MATTER PHYSICS,CONDENS MATTER PHYS,UKRAINE,X,,,
CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA DE GEOGRAFIA,CONFINS,FRANCE,,,,X
CONFLICT AND HEALTH,CONFL HEALTH,ENGLAND,X,X,,
CONFLICT MANAGEMENT AND PEACE SCIENCE,CONFLICT MANAG PEACE,UNITED STATES,,X,,
CONFLICT RESOLUTION QUARTERLY,CONFL RESOLUT Q,UNITED STATES,,,,X
CONFLICT SECURITY & DEVELOPMENT,CONFL SECUR DEV,ENGLAND,,,,X
CONFLICT STUDIES QUARTERLY,CONFL STUD Q,ROMANIA,,,,X
CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA,CONFLUENCIA,UNITED STATES,,,X,
CONFLUENZE-RIVISTA DI STUDI IBEROAMERICANI,CONFLUENZE,ITALY,,,,X
CONFORMAL GEOMETRY AND DYNAMICS,CONFORM GEOM DYN,UNITED STATES,,,,X
CONGENITAL ANOMALIES,CONGENIT ANOM,JAPAN,X,,,
CONGENITAL HEART DISEASE,CONGENIT HEART DIS,UNITED STATES,X,,,
CONGRESS & THE PRESIDENCY-A JOURNAL OF CAPITAL STUDIES,CONGR PRESIDENCY,ENGLAND,,,,X
CONIMBRIGA-REVISTA DE ARQUEOLOGIA,CONIMBRIGA,PORTUGAL,,,,X
CONNAISSANCE DES ARTS,CONNAISSANCE ARTS,FRANCE,,,X,
CONNECTICUT INSURANCE LAW JOURNAL,CONN INSUR LAW J,UNITED STATES,,,,X
CONNECTION SCIENCE,CONNECT SCI,ENGLAND,X,,,
CONNECTIST-ISTANBUL UNIVERSITY JOURNAL OF COMMUNICATION SCIENCES,CONNECTIST,TURKIYE,,,,X
CONNECTIVE TISSUE RESEARCH,CONNECT TISSUE RES,ENGLAND,X,,,
CONSCIOUSNESS AND COGNITION,CONSCIOUS COGN,UNITED STATES,,X,,
CONSERVAR PATRIMONIO,CONSERV PATRIM,PORTUGAL,,,,X
CONSERVATION,CONSERVATION-BASEL,SWITZERLAND,,,,X
CONSERVATION & SOCIETY,CONSERV SOC,INDIA,,X,,
CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES,CONSERV MANAGE ARCHA,ENGLAND,,,X,
CONSERVATION BIOLOGY,CONSERV BIOL,UNITED STATES,X,,,
CONSERVATION GENETICS,CONSERV GENET,NETHERLANDS,X,,,
CONSERVATION GENETICS RESOURCES,CONSERV GENET RESOUR,NETHERLANDS,X,,,
CONSERVATION LETTERS,CONSERV LETT,ENGLAND,X,,,
CONSERVATION PHYSIOLOGY,CONSERV PHYSIOL,ENGLAND,X,,,
CONSERVATION SCIENCE AND PRACTICE,CONSERV SCI PRACT,UNITED STATES,X,,,
CONSERVATION SCIENCE IN CULTURAL HERITAGE,CONSERV SCI CULT HER,ITALY,,,,X
CONSTELACIONES,CONSTELACIONES,SPAIN,,,,X
CONSTELACIONES-REVISTA DE TEORIA CRITICA,CONSTELACIONES-REV T,SPAIN,,,,X
CONSTELLATIONS-AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY,CONSTELLATIONS,ENGLAND,,,,X
CONSTITUTIONAL POLITICAL ECONOMY,CONST POLITICAL ECON,UNITED STATES,,,,X
CONSTRAINTS,CONSTRAINTS,NETHERLANDS,X,,,
CONSTRUCTION AND BUILDING MATERIALS,CONSTR BUILD MATER,ENGLAND,X,,,
CONSTRUCTION ECONOMICS AND BUILDING,CONSTR ECON BUILD,AUSTRALIA,,,,X
CONSTRUCTION HISTORY-INTERNATIONAL JOURNAL OF THE CONSTRUCTION HISTORY SOCIETY,CONSTR HIST,ENGLAND,,,X,
CONSTRUCTION INNOVATION-ENGLAND,CONSTR INNOV-ENGL,ENGLAND,,,,X
CONSTRUCTION MANAGEMENT AND ECONOMICS,CONSTR MANAG ECON,ENGLAND,,,,X
CONSTRUCTION MATERIALS,CONSTR MATER-BASEL,SWITZERLAND,,,,X
CONSTRUCTIONS AND FRAMES,CONSTR FRAMES,ITALY,,,,X
CONSTRUCTIVE APPROXIMATION,CONSTR APPROX,UNITED STATES,X,,,
CONSTRUCTIVE MATHEMATICAL ANALYSIS,CONSTR MATH ANAL,TURKIYE,,,,X
CONSTRUCTIVIST FOUNDATIONS,CONSTR FOUND,BELGIUM,,,X,
CONSULTING PSYCHOLOGY JOURNAL-PRACTICE AND RESEARCH,CONSULT PSYCH J,UNITED STATES,,,,X
CONSUMPTION AND SOCIETY,CONSUM SOC,ENGLAND,,,,X
CONSUMPTION MARKETS & CULTURE,CONSUMP MARK CULT,UNITED STATES,,X,,
CONTABILIDAD Y NEGOCIOS,CONTAB NEG,PERU,,,,X
CONTABILIDADE GESTAO E GOVERNANCA,CONTAB GEST GOV,BRAZIL,,,,X
CONTACT DERMATITIS,CONTACT DERMATITIS,DENMARK,X,,,
CONTACT LENS & ANTERIOR EYE,CONTACT LENS ANTERIO,NETHERLANDS,X,,,
CONTADURIA UNIVERSIDAD DE ANTIOQUIA,CONTAD U ANTIOQUIA,COLOMBIA,,,,X
CONTAGION-JOURNAL OF VIOLENCE MIMESIS AND CULTURE,CONTAGION,UNITED STATES,,,,X
CONTEMPORANEA,CONTEMPORANEA,ITALY,,,X,
CONTEMPORANEA-REVISTA DE SOCIOLOGIA DA UFSCAR,CONTEMP-REV SOCIOL U,BRAZIL,,,,X
CONTEMPORANEA-RIVISTA DI STUDI SULLA LETTERATURA E SULLA COMUNICAZIONE,CONTEMPORANEA-PISA,ITALY,,,,X
CONTEMPORARY ACCOUNTING RESEARCH,CONTEMP ACCOUNT RES,CANADA,,X,,
CONTEMPORARY ASIA ARBITRATION JOURNAL,CONTEMP ASIA ARBITAT,TAIWAN,,,,X
CONTEMPORARY BRITISH HISTORY,CONTEMP BR HIST,ENGLAND,,,X,
CONTEMPORARY BUDDHISM,CONTEMP BUDDHISM,ENGLAND,,,X,
CONTEMPORARY CLINICAL DENTISTRY,CONTEMP CLIN DENT,INDIA,,,,X
CONTEMPORARY CLINICAL TRIALS,CONTEMP CLIN TRIALS,UNITED STATES,X,,,
CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS,CONT CLIN TRIAL COMM,UNITED STATES,,,,X
CONTEMPORARY DIAGNOSTIC RADIOLOGY,CONTEMP DIAGN RADIOL,UNITED STATES,,,,X
CONTEMPORARY DRUG PROBLEMS,CONTEMP DRUG PROBL,UNITED STATES,,,,X
CONTEMPORARY ECONOMIC POLICY,CONTEMP ECON POLICY,UNITED STATES,,X,,
CONTEMPORARY ECONOMICS,CONTEMP ECON,POLAND,,,,X
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,CONTEMP EDUC PSYCHOL,UNITED STATES,,X,,
CONTEMPORARY EDUCATIONAL TECHNOLOGY,CONTEMP EDUC TECHNOL,ENGLAND,,,,X
CONTEMPORARY EUROPEAN HISTORY,CONTEMP EUR HIST,UNITED STATES,,X,X,
CONTEMPORARY EUROPE-SOVREMENNAYA EVROPA,CONTEMP EUR,RUSSIA,,,,X
CONTEMPORARY FAMILY THERAPY,CONTEMP FAM THER,UNITED STATES,,,,X
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,CONTEMP FR FRANCOPH,ENGLAND,,,X,
CONTEMPORARY FRENCH CIVILIZATION,CONTEMP FR CIVILIZ,ENGLAND,,,,X
CONTEMPORARY ISLAM-DYNAMICS OF MUSLIM LIFE,CONTEMP ISLAM,NETHERLANDS,,,,X
CONTEMPORARY ISSUES IN EARLY CHILDHOOD,CONTEMP ISS EARLY CH,ENGLAND,,,,X
CONTEMPORARY ITALIAN POLITICS,CONTEMP ITAL POLIT,ENGLAND,,,,X
CONTEMPORARY LITERATURE,CONTEMP LITERATURE,UNITED STATES,,,X,
CONTEMPORARY MATHEMATICS,CONTEMP MATH-SINGAP,SINGAPORE,,,,X
CONTEMPORARY MUSIC REVIEW,CONTEMP MUSIC REV,ENGLAND,,,X,
CONTEMPORARY NURSE,CONTEMP NURSE,AUSTRALIA,X,X,,
CONTEMPORARY PACIFIC,CONTEMP PACIFIC,UNITED STATES,,X,,
CONTEMPORARY PHYSICS,CONTEMP PHYS,ENGLAND,X,,,
CONTEMPORARY POLITICAL THEORY,CONTEMP POLIT THEORY,ENGLAND,,X,,
CONTEMPORARY POLITICS,CONTEMP POLIT,ENGLAND,,X,,
CONTEMPORARY PRAGMATISM,CONTEMP PRAGMAT,NETHERLANDS,,,X,
CONTEMPORARY PROBLEMS OF ECOLOGY,CONTEMP PROBL ECOL+,RUSSIA,X,,,
CONTEMPORARY PSYCHOANALYSIS,CONTEMP PSYCHOANAL,UNITED STATES,,X,,
CONTEMPORARY REVIEW OF THE MIDDLE EAST,CONTEMP REV MIDDLE E,UNITED STATES,,,,X
CONTEMPORARY SCHOOL PSYCHOLOGY,CONTEMP SCH PSYCHOL,UNITED STATES,,,,X
CONTEMPORARY SECURITY POLICY,CONTEMP SECUR POL,ENGLAND,,X,,
CONTEMPORARY SOCIAL SCIENCE,CONTEMP SOC SCI,ENGLAND,,,,X
CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS,CONTEMP SOCIOL,UNITED STATES,,X,,
CONTEMPORARY SOUTH ASIA,CONTEMP SOUTH ASIA,ENGLAND,,X,X,
CONTEMPORARY SOUTHEAST ASIA,CONTEMP SE ASIA,SINGAPORE,,X,,
CONTEMPORARY THEATRE REVIEW,CONTEMP THEATRE REV,ENGLAND,,,X,
CONTEMPORARY VOICE OF DALIT,CONTEMP VOICE DALIT,INDIA,,,,X
CONTEMPORARY WOMENS WRITING,CONTEMP WOMENS WRIT,ENGLAND,,,X,
CONTEXTO,CONTEXTO-VENEZUELA,VENEZUELA,,,,X
CONTEXTO-REVISTA DE LA FACULTAD DE ARQUITECTURA UNIVERSIDAD AUTONOMA DE NUEVO LEON,CONTEXTO-REV FAC ARQ,MEXICO,,,,X
CONTEXTO-REVISTA DO PROGRAMA DE POS-GRADUACAO EM LETRAS,CONTEXTO-REV PROG PG,BRAZIL,,,,X
CONTEXTOS EDUCATIVOS-REVISTA DE EDUCACION,CONTEXTOS EDUC,SPAIN,,,,X
CON-TEXTOS KANTIANOS-INTERNATIONAL JOURNAL OF PHILOSOPHY,CON-TEXTOS KANTIANOS,SPAIN,,,,X
CONTINENCE,CONTINENCE-NETH,ENGLAND,,,,X
CONTINENCE REPORTS,CONTINENCE REP,NETHERLANDS,,,,X
CONTINENTAL PHILOSOPHY REVIEW,CONT PHILOS REV,NETHERLANDS,,,X,
CONTINENTAL SHELF RESEARCH,CONT SHELF RES,ENGLAND,X,,,
CONTINUITY AND CHANGE,CONTINUITY CHANGE,UNITED STATES,,X,,
CONTINUUM MECHANICS AND THERMODYNAMICS,CONTINUUM MECH THERM,UNITED STATES,X,,,
CONTINUUM-JOURNAL OF MEDIA & CULTURAL STUDIES,CONTINUUM-J MEDIA CU,ENGLAND,,X,X,
CONTRACEPTION,CONTRACEPTION,UNITED STATES,X,,,
CONTRACEPTION AND REPRODUCTIVE MEDICINE,CONTRACEP REPROD MED,ENGLAND,,,,X
CONTRASTIVE PRAGMATICS,CONTRASTIVE PRAGMAT,PEOPLES R CHINA,,,,X
CONTRIBUTIONS OF THE ASTRONOMICAL OBSERVATORY SKALNATE PLESO,CONTRIB ASTRON OBS S,SLOVAKIA,X,,,
CONTRIBUTIONS TO DISCRETE MATHEMATICS,CONTRIB DISCRET MATH,CANADA,X,,,
CONTRIBUTIONS TO GEOPHYSICS AND GEODESY,CONTRIB GEOPHYS GEOD,SLOVAKIA,,,,X
CONTRIBUTIONS TO INDIAN SOCIOLOGY,CONTRIB INDIAN SOC,INDIA,,X,,
CONTRIBUTIONS TO MATHEMATICS,CONTRIB MATH,PAKISTAN,,,,X
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,CONTRIB MINERAL PETR,GERMANY,X,,,
CONTRIBUTIONS TO PLASMA PHYSICS,CONTRIB PLASM PHYS,GERMANY,X,,,
CONTRIBUTIONS TO THE HISTORY OF CONCEPTS,CONTRIB HIST CONCEPT,ENGLAND,,,,X
CONTRIBUTIONS TO ZOOLOGY,CONTRIB ZOOL,NETHERLANDS,X,,,
CONTROL ENGINEERING AND APPLIED INFORMATICS,CONTROL ENG APPL INF,ROMANIA,X,,,
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,ENGLAND,X,,,
CONTROL THEORY AND TECHNOLOGY,CONTROL THEOR TECH,PEOPLES R CHINA,,,,X
CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,CONVERGENCE-US,UNITED STATES,,X,,
CONVERGENCIA-REVISTA DE CIENCIAS SOCIALES,CONVERGENCIA,MEXICO,,X,,
CONVIVIUM,CONVIVIUM,SPAIN,,,X,
CONVIVIUM-EXCHANGES AND INTERACTIONS IN THE ARTS OF THE PREMODERN WORLD-SEMINARIUM KONDAKOVIANUM SERIES NOVA,CONVIV-EXCH INTERACT,CZECH REPUBLIC,,,,X
COOPERATION AND CONFLICT,COOP CONFL,NORWAY,,X,,
COORDENADAS-REVISTA DE HISTORIA LOCAL Y REGIONAL,COORDENADAS,ARGENTINA,,,,X
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,NETHERLANDS,X,,,
COPD-JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,COPD,UNITED STATES,X,,,
COR ET VASA,COR VASA,NETHERLANDS,,,,X
CORAL REEFS,CORAL REEFS,GERMANY,X,,,
CORDIS-REVISTA ELETRONICA DE HISTORIA SOCIAL DA CIDADE,CORDIS,BRAZIL,,,,X
CORMAC MCCARTHY JOURNAL,CORMAC MCCARTHY J,UNITED STATES,,,,X
CORNEA,CORNEA,UNITED STATES,X,,,
CORNELL HOSPITALITY QUARTERLY,CORNELL HOSP Q,UNITED STATES,,X,,
CORNELL INTERNATIONAL LAW JOURNAL,CORNELL INT LAW J,UNITED STATES,,X,,
CORNELL LAW REVIEW,CORNELL LAW REV,UNITED STATES,,X,,
CORONARY ARTERY DISEASE,CORONARY ARTERY DIS,UNITED STATES,X,,,
CORPORA,CORPORA,SCOTLAND,,,,X
CORPORATE BOARD-ROLE DUTIES AND COMPOSITION,CORP BOARD-UKRAINE,UKRAINE,,,,X
CORPORATE COMMUNICATIONS,CORP COMMUN,ENGLAND,,,,X
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,CORP GOV-OXFORD,ENGLAND,,X,,
CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS IN SOCIETY,CORP GOV-INT J BUS S,ENGLAND,,,,X
CORPORATE REPUTATION REVIEW,CORP REPUT REV,ENGLAND,,,,X
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,CORP SOC RESP ENV MA,ENGLAND,,X,,
CORPUS LINGUISTICS AND LINGUISTIC THEORY,CORPUS LINGUIST LING,GERMANY,,X,X,
CORPUS PRAGMATICS,CORPUS PRAGMATICS,NETHERLANDS,,,,X
CORRECTIONS,CORRECTIONS,ENGLAND,,,,X
CORRESPONDANCES EN METABOLISMES HORMONES DIABETES ET NUTRITION,CORRESP MHDN,FRANCE,X,,,
CORROSION,CORROSION-US,UNITED STATES,X,,,
CORROSION AND MATERIALS DEGRADATION,CORROS MATER DEGRAD,SWITZERLAND,,,,X
CORROSION COMMUNICATIONS,CORROS COMMUN,PEOPLES R CHINA,,,,X
CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,CORROS ENG SCI TECHN,ENGLAND,X,,,
CORROSION REVIEWS,CORROS REV,ENGLAND,X,,,
CORROSION SCIENCE,CORROS SCI,ENGLAND,X,,,
CORROSION SCIENCE AND TECHNOLOGY-KOREA,CORROS SCI TECHNOL-K,SOUTH KOREA,,,,X
CORSALUD,CORSALUD,CUBA,,,,X
CORTEX,CORTEX,ITALY,X,X,,
CORVINUS JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,CORVINUS J SOCIOL PO,HUNGARY,,,,X
COSMETICS,COSMETICS-BASEL,SWITZERLAND,,,,X
COSMIC RESEARCH,COSMIC RES+,RUSSIA,X,,,
COSMOPOLITAN CIVIL SOCIETIES-AN INTERDISCIPLINARY JOURNAL,COSMOP CIV SOC,AUSTRALIA,,,,X
COSMOS AND HISTORY-THE JOURNAL OF NATURAL AND SOCIAL PHILOSOPHY,COSM HIST,AUSTRALIA,,,,X
COST EFFECTIVENESS AND RESOURCE ALLOCATION,COST EFFECT RESOUR A,ENGLAND,,X,,
COSTUME-THE JOURNAL OF THE COSTUME SOCIETY,COSTUME,ENGLAND,,,X,
COUNSELING AND VALUES,COUNS VALUES,UNITED STATES,,,,X
COUNSELING PSYCHOLOGIST,COUNS PSYCHOL,UNITED STATES,,X,,
COUNSELLING & PSYCHOTHERAPY RESEARCH,COUNS PSYCHOTHER RES,ENGLAND,,,,X
COUNSELLING PSYCHOLOGY QUARTERLY,COUNS PSYCHOL Q,UNITED STATES,,,,X
COUNSELOR EDUCATION AND SUPERVISION,COUNS EDUC SUPERV,UNITED STATES,,,,X
COUNTERTEXT-A JOURNAL FOR THE STUDY OF THE POST-LITERARY,COUNTERTEXT,SCOTLAND,,,,X
COUPLE AND FAMILY PSYCHOLOGY-RESEARCH AND PRACTICE,COUPLE FAM PSYCHOL,UNITED STATES,,,,X
COUPLED SYSTEMS MECHANICS,COUPLED SYST MEC,SOUTH KOREA,,,,X
COVID,COVID-BASEL,SWITZERLAND,,,,X
CPT-PHARMACOMETRICS & SYSTEMS PHARMACOLOGY,CPT-PHARMACOMET SYST,UNITED STATES,X,,,
CPU-E REVISTA DE INVESTIGACION EDUCATIVA,CPU-REV INVESTIG EDU,MEXICO,,,,X
CRAFT RESEARCH,CRAFT RES,ENGLAND,,,,X
CRANIOMAXILLOFACIAL TRAUMA & RECONSTRUCTION,CRANIOMAX TRAUM REC,UNITED STATES,,,,X
CRANIO-THE JOURNAL OF CRANIOMANDIBULAR & SLEEP PRACTICE,CRANIO,UNITED STATES,X,,,
CREATIVE INDUSTRIES JOURNAL,CREATIVE IND J,ENGLAND,,,,X
CREATIVE NURSING,CREAT NURS,UNITED STATES,,,,X
CREATIVITY AND INNOVATION MANAGEMENT,CREAT INNOV MANAG,ENGLAND,,X,,
CREATIVITY RESEARCH JOURNAL,CREATIVITY RES J,UNITED STATES,,X,,
CRESCENT JOURNAL OF MEDICAL AND BIOLOGICAL SCIENCES,CRESCENT J MED BIOL,IRAN,,,,X
CRETACEOUS RESEARCH,CRETACEOUS RES,ENGLAND,X,,,
CRIME & DELINQUENCY,CRIME DELINQUENCY,UNITED STATES,,X,,
CRIME AND JUSTICE-A REVIEW OF RESEARCH,CRIME JUSTICE,UNITED STATES,,X,,
CRIME LAW AND SOCIAL CHANGE,CRIME LAW SOCIAL CH,NETHERLANDS,,X,,
CRIME MEDIA CULTURE,CRIME MEDIA CULT,ENGLAND,,X,,
CRIME PREVENTION & COMMUNITY SAFETY,CRIME PREV COMMUNITY,ENGLAND,,,,X
CRIME SCIENCE,CRIME SCI,GERMANY,,,,X
CRIMINAL BEHAVIOUR AND MENTAL HEALTH,CRIM BEHAV MENT HEAL,ENGLAND,,X,,
CRIMINAL JUSTICE AND BEHAVIOR,CRIM JUSTICE BEHAV,UNITED STATES,,X,,
CRIMINAL JUSTICE STUDIES,CRIM JUSTICE STUD,ENGLAND,,,,X
CRIMINAL LAW AND PHILOSOPHY,CRIM LAW PHILOS,NETHERLANDS,,,,X
CRIMINAL LAW FORUM,CRIM LAW FORUM,NETHERLANDS,,,,X
CRIMINOLOGIE,CRIMINOLOGIE,CANADA,,,,X
CRIMINOLOGY,CRIMINOLOGY,UNITED STATES,,X,,
CRIMINOLOGY & CRIMINAL JUSTICE,CRIMINOL CRIM JUSTIC,ENGLAND,,X,,
CRIMINOLOGY & PUBLIC POLICY,CRIMINOL PUBLIC POL,UNITED STATES,,X,,
CRISIS-THE JOURNAL OF CRISIS INTERVENTION AND SUICIDE PREVENTION,CRISIS,GERMANY,,X,,
CRISPR JOURNAL,CRISPR J,UNITED STATES,X,,,
CRISTIANESIMO NELLA STORIA,CRIST STOR,ITALY,,,,X
CRITICA LETTERARIA,CRITICA LETT,ITALY,,,X,
CRITICAL AFRICAN STUDIES,CRIT AFR STUD,ENGLAND,,,,X
