JournalFullName,ISSN,2022IF,2022AI,
DOCUMENTI E STUDI SULLA TRADIZIONE FILOSOFICA MEDIEVALE,1122-5750,0.3,0.433,
DOCUMENTI GEOGRAFICI,2035-8792,0.2,0.09,
DOCUMENTS D ANALISI GEOGRAFICA,0212-1573,0.6,0.192,
DOKLADY BIOCHEMISTRY AND BIOPHYSICS,1607-6729,0.8,0.115,
DOKLADY CHEMISTRY,0012-5008,0.8,0.087,
DOKLADY EARTH SCIENCES,1028-334X,0.9,0.164,
DOKLADY MATHEMATICS,1064-5624,0.6,0.271,
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,1561-8323,0.1,0,
DOKLADY PHYSICAL CHEMISTRY,0012-5016,0.9,0.128,
DOKLADY PHYSICS,1028-3358,0.8,0.128,
DOLOMITES RESEARCH NOTES ON APPROXIMATION,2035-6803,1.3,0.454,
DOMESTIC ANIMAL ENDOCRINOLOGY,0739-7240,2.1,0.365,
DOSE-RESPONSE,1559-3258,2.5,0.396,
DOWN BEAT,0012-5768,0,0.025,
DOWNSIDE REVIEW,0012-5806,0,0.112,
DOXA COMUNICACION,1696-019X,0.6,0.162,
DOXA-CUADERNOS DE FILOSOFIA Y DERECHO,0214-8676,0.2,0.109,
DRAMA THERAPY REVIEW,2054-7668,1.1,0.131,
DREAMING,1053-0797,1.8,0.264,
DRESS-THE JOURNAL OF THE COSTUME SOCIETY OF AMERICA,0361-2112,0.4,0.351,
DREVNYAYA RUS-VOPROSY MEDIEVISTIKI,2071-9574,0.2,0.237,
DREWNO,1644-3985,0.8,0.112,
DRONE SYSTEMS AND APPLICATIONS,2564-4939,0,0,
DRONES,2504-446X,4.8,0.773,
DRUG AND ALCOHOL DEPENDENCE,0376-8716,4.2,1.56,
DRUG AND ALCOHOL REVIEW,0959-5236,3.8,1.15,
DRUG AND CHEMICAL TOXICOLOGY,0148-0545,2.6,0.333,
DRUG DELIVERY,1071-7544,6,0.82,
DRUG DELIVERY AND TRANSLATIONAL RESEARCH,2190-393X,5.4,0.662,
DRUG DESIGN DEVELOPMENT AND THERAPY,1177-8881,4.8,0.789,
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,0363-9045,3.4,0.4,
DRUG DEVELOPMENT RESEARCH,0272-4391,3.8,0.553,
DRUG DISCOVERIES AND THERAPEUTICS,1881-7831,3.1,0.445,
DRUG DISCOVERY TODAY,1359-6446,7.4,1.523,
DRUG HEALTHCARE AND PATIENT SAFETY,1179-1365,1.6,0.411,
DRUG METABOLISM AND DISPOSITION,0090-9556,3.9,0.804,
DRUG METABOLISM AND PHARMACOKINETICS,1347-4367,2.1,0.499,
DRUG METABOLISM REVIEWS,0360-2532,5.9,1.151,
DRUG RESEARCH,2194-9379,2.2,0.295,
DRUG RESISTANCE UPDATES,1368-7646,24.3,3.593,
DRUG SAFETY,0114-5916,4.2,1.162,
DRUG TARGET INSIGHTS,1177-3928,2.7,0.655,
DRUG TESTING AND ANALYSIS,1942-7603,2.9,0.505,
DRUGS,0012-6667,11.5,2.395,
DRUGS & AGING,1170-229X,2.8,0.892,
DRUGS & THERAPY PERSPECTIVES,1172-0360,1.2,0,
DRUGS AND ALCOHOL TODAY,1745-9265,0.9,0.297,
DRUGS IN R&D,1174-5886,3,0.745,
DRUGS OF THE FUTURE,0377-8282,0.2,0.025,
DRUGS OF TODAY,1699-3993,1.8,0.375,
DRUGS-EDUCATION PREVENTION AND POLICY,0968-7637,1.9,0.446,
DRUGS-REAL WORLD OUTCOMES,2199-1154,2,0,
DRUSTVENA ISTRAZIVANJA,1330-0288,0.6,0.176,
DRVNA INDUSTRIJA,0012-6772,1.1,0.123,
DRYING TECHNOLOGY,0737-3937,3.3,0.424,
DU,0012-6837,0,1.00E-03,
DU BOIS REVIEW-SOCIAL SCIENCE RESEARCH ON RACE,1742-058X,1.3,1.199,
DUAZARY,1794-5992,0.2,0.037,
DUBAI MEDICAL JOURNAL,2571-726X,1.4,0.205,
DUKE LAW JOURNAL,0012-7086,1.9,1.367,
DUKE MATHEMATICAL JOURNAL,0012-7094,2.5,3.759,
DUSUNEN ADAM-JOURNAL OF PSYCHIATRY AND NEUROLOGICAL SCIENCES,1018-8681,1,0.227,
DUTCH CROSSING-JOURNAL OF LOW COUNTRIES STUDIES,0309-6564,0.5,0.34,
DUTCH JOURNAL OF APPLIED LINGUISTICS,2211-7245,0.5,0.216,
DYES AND PIGMENTS,0143-7208,4.5,0.508,
DYNA,0012-7361,1,0.09,
DYNAMIC GAMES AND APPLICATIONS,2153-0785,1.5,0.645,
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,1468-9367,0.5,0.329,
DYNAMICS OF ATMOSPHERES AND OCEANS,0377-0265,1.7,0.506,
DYNAMICS OF PARTIAL DIFFERENTIAL EQUATIONS,1548-159X,1.3,0.851,
DYNAMIS,0211-9536,0.2,0.744,
DYSLEXIA,1076-9242,2.2,0.859,
DYSPHAGIA,0179-051X,2.6,0.719,
E & M EKONOMIE A MANAGEMENT,1212-3609,1.5,0.148,
E&G QUATERNARY SCIENCE JOURNAL,0424-7116,1.8,0.637,
E-BALONMANO COM,1885-7019,0.7,0.075,
E-CIENCIAS DE LA INFORMACION,1659-4142,0.1,0.031,
E-INFORMATICA SOFTWARE ENGINEERING JOURNAL,1897-7979,0.8,0.17,
E-JOURNAL OF BUSINESS EDUCATION & SCHOLARSHIP OF TEACHING,1835-9132,0.8,0.198,
E-JOURNAL OF INTERNATIONAL AND COMPARATIVE LABOUR STUDIES,2280-4056,0.3,0.093,
E-JOURNAL OF SURFACE SCIENCE AND NANOTECHNOLOGY,1348-0391,0.7,0.121,
E-LATINA-REVISTA ELECTRONICA DE ESTUDIOS LATINOAMERICANOS,1666-9606,0,0.009,
E-LEARNING AND DIGITAL MEDIA,2042-7530,1.9,0,
E-LEGAL HISTORY REVIEW,1699-5317,0,0.01,
E-MENTOR,1731-6758,0.4,0.049,
E-POLYMERS,2197-4586,3.7,0.371,
E-RPH-REVISTA ELECTRONICA DE PATRIMONIO HISTORICO,1988-7213,0.3,0.066,
E-SCRITA-REVISTA DO CURSO DE LETRAS DA UNIABEU,2177-6288,0,0.004,
E-SPANIA-REVUE ELECTRONIQUE D ETUDES HISPANIQUES MEDIEVALES,1951-6169,0.1,0.167,
E-WATER,1994-8549,0,0,
EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS,2032-9407,1.3,0.11,
EAR AND HEARING,0196-0202,3.7,1.058,
EARI-EDUCACION ARTISTICA-REVISTA DE INVESTIGACION,1695-8403,0.2,0.109,
EARLY AMERICAN LITERATURE,0012-8163,0.3,0.353,
EARLY AMERICAN STUDIES-AN INTERDISCIPLINARY JOURNAL,1543-4273,0.3,0.434,
EARLY CHILD DEVELOPMENT AND CARE,0300-4430,1.4,0.398,
EARLY CHILDHOOD EDUCATION JOURNAL,1082-3301,2.7,0.628,
EARLY CHILDHOOD RESEARCH QUARTERLY,0885-2006,3.7,1.412,
EARLY CHINA,0362-5028,0.3,0.547,
EARLY CHRISTIANITY,1868-7032,0.3,0.396,
EARLY EDUCATION AND DEVELOPMENT,1040-9289,2.9,0.851,
EARLY HUMAN DEVELOPMENT,0378-3782,2.5,0.705,
EARLY INTERVENTION IN PSYCHIATRY,1751-7885,2,0.797,
EARLY MEDIEVAL CHINA,1529-9104,0.1,0.301,
EARLY MEDIEVAL EUROPE,0963-9462,0.6,0.549,
EARLY MODERN FRENCH STUDIES,2056-3035,0.2,0.326,
EARLY MODERN WOMEN-AN INTERDISCIPLINARY JOURNAL,1933-0065,0.2,0.262,
EARLY MUSIC,0306-1078,0.3,0.151,
EARLY MUSIC HISTORY,0261-1279,0.3,0.263,
EARLY POPULAR VISUAL CULTURE,1746-0654,0.2,0.299,
EARLY SCIENCE AND MEDICINE,1383-7427,0.3,0.641,
EARLY THEATRE,1206-9078,0.1,0.219,
EARLY YEARS,0957-5146,1.1,0.353,
EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,1755-6910,1.2,0.645,
EARTH AND PLANETARY PHYSICS,2096-3955,2.9,0.897,
EARTH AND PLANETARY SCIENCE LETTERS,0012-821X,5.3,2.246,
EARTH AND SPACE SCIENCE,2333-5084,3.1,1.102,
EARTH INTERACTIONS,1087-3562,2,0.72,
EARTH MOON AND PLANETS,0167-9295,0.9,0.176,
EARTH PLANETS AND SPACE,1880-5981,3,0.903,
EARTH SCIENCE INFORMATICS,1865-0473,2.8,0.444,
EARTH SCIENCES HISTORY,0736-623X,0.3,0.072,
EARTH SCIENCES RESEARCH JOURNAL,1794-6190,0.9,0.201,
EARTH SURFACE DYNAMICS,2196-6311,3.4,1.38,
EARTH SURFACE PROCESSES AND LANDFORMS,0197-9337,3.3,0.935,
EARTH SYSTEM DYNAMICS,2190-4979,7.3,2.174,
EARTH SYSTEM GOVERNANCE,2589-8116,5.6,1.704,
EARTH SYSTEM SCIENCE DATA,1866-3508,11.4,3.899,
EARTH SYSTEMS AND ENVIRONMENT,2509-9426,7.2,1.04,
EARTH-SCIENCE REVIEWS,0012-8252,12.1,3.954,
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,0098-8847,4.5,1.158,
EARTHQUAKE ENGINEERING AND ENGINEERING VIBRATION,1671-3664,2.8,0.478,
EARTHQUAKE SCIENCE,1674-4519,1.2,0.278,
EARTHQUAKE SPECTRA,8755-2930,5,1.163,
EARTHQUAKES AND STRUCTURES,2092-7614,1.5,0.239,
EARTHS FUTURE,2328-4277,8.2,2.57,
EAST ASIA,1096-6838,0.6,0,
EAST ASIAN ECONOMIC REVIEW,2508-1640,0.8,0.169,
EAST ASIAN JOURNAL ON APPLIED MATHEMATICS,2079-7362,1.2,0.253,
EAST ASIAN POLICY,1793-9305,0.9,0.101,
EAST ASIAN PRAGMATICS,2055-7752,0.3,0,
EAST ASIAN PUBLISHING AND SOCIETY,2210-6278,0.2,0.403,
EAST ASIAN SCIENCE TECHNOLOGY AND SOCIETY-AN INTERNATIONAL JOURNAL,1875-2160,0.8,0.388,
EAST CENTRAL EUROPE,0094-3037,0.1,0.237,
EAST EUROPEAN JEWISH AFFAIRS,1350-1674,0.1,0.257,
EAST EUROPEAN JOURNAL OF PHYSICS,2312-4334,0.4,0.057,
EAST EUROPEAN POLITICS,2159-9165,3.2,1.39,
EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254,0.7,0.613,
EASTERN BUDDHIST,0012-8708,0.4,0.343,
EASTERN ECONOMIC JOURNAL,0094-5056,1.1,0.363,
EASTERN EUROPEAN COUNTRYSIDE,1232-8855,0.5,0.095,
EASTERN EUROPEAN ECONOMICS,0012-8775,1.1,0.227,
EASTERN JOURNAL OF EUROPEAN STUDIES,2068-651X,0.6,0.122,
EASTERN MEDITERRANEAN HEALTH JOURNAL,1020-3397,2.1,0.47,
EATING AND WEIGHT DISORDERS-STUDIES ON ANOREXIA BULIMIA AND OBESITY,1124-4909,2.9,0.697,
EATING BEHAVIORS,1471-0153,2.8,0.814,
EATING DISORDERS,1064-0266,3.3,0.69,
EBIOMEDICINE,2352-3964,11.1,2.58,
EC TAX REVIEW,0928-2750,0.6,0.283,
ECANCERMEDICALSCIENCE,1754-6605,1.8,0.563,
ECCLESIASTICAL LAW JOURNAL,0956-618X,0.5,0.586,
ECCLESIOLOGY,1744-1366,0.2,0.147,
ECCOS-REVISTA CIENTIFICA,1517-1949,0.1,0.037,
ECHO RESEARCH AND PRACTICE,2055-0464,6.3,0.736,
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,0742-2822,1.5,0.478,
ECLINICALMEDICINE,2589-5370,15.1,5.024,
ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,2073-106X,0.4,0.075,
ECO-ENGINEERING,1347-0485,0.3,0.022,
ECOGRAPHY,0906-7590,5.9,2.162,
ECOHEALTH,1612-9202,2.5,0.846,
ECOHYDROLOGY,1936-0584,2.6,0.614,
ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,2.6,0.443,
ECOLOGIA APLICADA,1726-2216,0.2,0,
ECOLOGICAL APPLICATIONS,1051-0761,5,1.418,
ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,1898-6196,1.9,0.17,
ECOLOGICAL COMPLEXITY,1476-945X,3.5,0.555,
ECOLOGICAL ECONOMICS,0921-8009,7,1.549,
ECOLOGICAL ENGINEERING,0925-8574,3.8,0.671,
ECOLOGICAL ENTOMOLOGY,0307-6946,2.2,0.594,
ECOLOGICAL INDICATORS,1470-160X,6.9,0.99,
ECOLOGICAL INFORMATICS,1574-9541,5.1,0.787,
ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1.5,0.421,
ECOLOGICAL MODELLING,0304-3800,3.1,0.657,
ECOLOGICAL MONOGRAPHS,0012-9615,6.1,2.988,
ECOLOGICAL PROCESSES,2192-1709,4.8,0.829,
ECOLOGICAL PSYCHOLOGY,1040-7413,1.9,0.711,
ECOLOGICAL QUESTIONS,1644-7298,0.6,0.108,
ECOLOGICAL RESEARCH,0912-3814,2,0.501,
ECOLOGICAL RESTORATION,1543-4060,1.6,0.307,
ECOLOGICAL SOLUTIONS AND EVIDENCE,2688-8319,2.9,0.738,
ECOLOGY,0012-9658,4.8,1.641,
ECOLOGY AND EVOLUTION,2045-7758,2.6,0.777,
ECOLOGY AND SOCIETY,1708-3087,4.1,1.401,
ECOLOGY LETTERS,1461-023X,8.8,3.329,
ECOLOGY OF FOOD AND NUTRITION,0367-0244,1.8,0.39,
ECOLOGY OF FRESHWATER FISH,0906-6691,1.8,0.429,
ECOMAT,2567-3173,14.6,2.976,
ECON JOURNAL WATCH,1933-527X,0.8,0.32,
ECONOMETRIC REVIEWS,0747-4938,1.2,1.071,
ECONOMETRIC THEORY,0266-4666,0.8,1.488,
ECONOMETRICA,0012-9682,6.1,11.897,
ECONOMETRICS,2225-1146,1.5,0.808,
ECONOMETRICS AND STATISTICS,2468-0389,1.9,0.999,
ECONOMETRICS JOURNAL,1368-4221,1.9,3.279,
ECONOMIA AGRARIA Y RECURSOS NATURALES,1578-0732,0.2,0.235,
ECONOMIA POLITICA,1120-2890,1.8,0.42,
ECONOMIA SOCIEDAD Y TERRITORIO,1405-8421,0.2,0.103,
ECONOMIC AFFAIRS,0265-0665,1.4,0.453,
ECONOMIC ANALYSIS AND POLICY,0313-5926,6.5,0.844,
ECONOMIC AND ENVIRONMENTAL GEOLOGY,1225-7281,0.3,0.069,
ECONOMIC AND INDUSTRIAL DEMOCRACY,0143-831X,1.5,0.63,
ECONOMIC AND LABOUR RELATIONS REVIEW,1035-3046,2.5,0.829,
ECONOMIC AND POLITICAL STUDIES-EPS,2095-4816,2.4,0.594,
ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,2307-0331,0.5,0.084,
ECONOMIC AND SOCIAL REVIEW,0012-9984,0.9,0.321,
ECONOMIC ANNALS-XXI,1728-6220,0.6,0.09,
ECONOMIC ANTHROPOLOGY,2330-4847,0.9,0.64,
ECONOMIC BOTANY,0013-0001,2.6,0.5,
ECONOMIC CHANGE AND RESTRUCTURING,1573-9414,3.1,0.369,
ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,0424-267X,0.9,0.09,
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,0013-0079,2,1.677,
ECONOMIC DEVELOPMENT QUARTERLY,0891-2424,1.5,0.561,
ECONOMIC GEOGRAPHY,0013-0095,7,3.331,
ECONOMIC GEOLOGY,0361-0128,5.8,1.635,
ECONOMIC HISTORY OF DEVELOPING REGIONS,2078-0389,0.5,0.788,
ECONOMIC HISTORY REVIEW,0013-0117,2.2,1.502,
ECONOMIC INQUIRY,0095-2583,1.8,1.057,
ECONOMIC ISSUES,1363-7029,1.5,0.155,
ECONOMIC JOURNAL,0013-0133,3.2,3.95,
ECONOMIC JOURNAL OF EMERGING MARKETS,2086-3128,0.5,0.09,
ECONOMIC MODELLING,0264-9993,4.7,0.743,
ECONOMIC NOTES,0391-5026,1.5,0.204,
ECONOMIC PAPERS,0812-0439,0.9,0.248,
ECONOMIC POLICY,0266-4658,2.5,3.778,
ECONOMIC RECORD,0013-0249,1.2,0.414,
ECONOMIC SYSTEMS,0939-3625,3.1,0.655,
ECONOMIC SYSTEMS RESEARCH,0953-5314,2.5,0.651,
ECONOMIC THEORY,0938-2259,1.3,0.97,
ECONOMIC THEORY BULLETIN,2196-1085,0.3,0,
ECONOMICA,0013-0427,1.4,1.478,
ECONOMICS & HUMAN BIOLOGY,1570-677X,2.5,0.943,
ECONOMICS & POLITICS,0954-1985,1,1.214,
ECONOMICS & SOCIOLOGY,2071-789X,3,0.285,
ECONOMICS AND BUSINESS LETTERS,2254-4380,0.9,0.157,
ECONOMICS AND BUSINESS REVIEW,2392-1641,0.7,0,
ECONOMICS AND FINANCE LETTERS,2312-6310,0.9,0,
ECONOMICS AND PHILOSOPHY,0266-2671,1.2,0.827,
ECONOMICS BULLETIN,1545-2921,0.6,0.131,
ECONOMICS ECOLOGY SOCIUM,2616-7107,0.3,0,
ECONOMICS LETTERS,0165-1765,2,0.785,
ECONOMICS OF EDUCATION REVIEW,0272-7757,2.2,1.553,
ECONOMICS OF ENERGY & ENVIRONMENTAL POLICY,2160-5882,1.9,0.678,
ECONOMICS OF GOVERNANCE,1435-6104,0.9,0.271,
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,1043-8599,3.3,0.675,
ECONOMICS OF PEACE AND SECURITY JOURNAL,1749-852X,0.6,0.157,
ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,2577-6975,0.9,0.326,
ECONOMICS OF TRANSPORTATION,2212-0122,2.8,0.918,
ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,1864-6042,0.5,0.33,
ECONOMIES,2227-7099,2.6,0.387,
ECONOMIST-NETHERLANDS,0013-063X,1.6,0.626,
ECONOMISTS VOICE,2194-6167,0.4,0.093,
ECONOMY AND SOCIETY,0308-5147,3.4,1.77,
ECONOMY OF REGION,2072-6414,0.5,0.072,
ECOPSYCHOLOGY,1942-9347,1,0.453,
ECOS DE ECONOMIA,1657-4206,0,0.007,
ECOS-ESTUDOS CONTEMPORANEOS DA SUBJETIVIDADE,2237-941X,0.1,0.009,
ECOSCIENCE,1195-6860,1.3,0.355,
ECOSISTEMAS,1697-2473,0.7,0.179,
ECOSISTEMAS Y RECURSOS AGROPECUARIOS,2007-901X,0.2,0.065,
ECOSPHERE,2150-8925,2.7,0.914,
ECOSYSTEM HEALTH AND SUSTAINABILITY,2096-4129,4.9,0.937,
ECOSYSTEM SERVICES,2212-0416,7.6,1.408,
ECOSYSTEMS,1432-9840,3.7,1.114,
ECOSYSTEMS AND PEOPLE,2639-5916,5.3,1.173,
ECOTOXICOLOGY,0963-9292,2.7,0.459,
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,6.8,0.965,
ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,2162-8769,2.2,0.32,
ECUMENICA-PERFORMANCE AND RELIGION,1942-4558,0.1,0,
ECUMENICAL REVIEW,0013-0796,0.2,0.082,
EDAD MEDIA-REVISTA DE HISTORIA,1138-9621,0.3,0.508,
EDGAR ALLAN POE REVIEW,2150-0428,0,0.092,
EDINBURGH LAW REVIEW,1364-9809,0.3,0.095,
EDMA 0-6-EDUCACION MATEMATICA EN LA INFANCIA,2254-8351,0.3,0.075,
EDMETIC,2254-0059,2,0.219,
EDUCACAO,0101-9031,0.1,0.115,
EDUCACAO & FORMACAO,2448-3583,0.6,0.107,
EDUCACION FISICA Y CIENCIA,1514-0105,0.1,0.042,
EDUCACION XX1,1139-613X,3.6,0.627,
EDUCADE-REVISTA DE EDUCACION EN CONTABILIDAD FINANZAS Y ADMINISTRACION DE EMPRESAS,2173-478X,0,0.01,
EDUCAR,0211-819X,1.4,0.236,
EDUCAR EM REVISTA,0104-4060,0.2,0.169,
EDUCATIO SIGLO XXI,1699-2105,0.9,0.165,
EDUCATION 3-13,0300-4279,1,0.236,
EDUCATION AND INFORMATION TECHNOLOGIES,1360-2357,5.5,0.815,
EDUCATION AND TRAINING,0040-0912,3.6,0.561,
EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES,2154-1647,1,0.456,
EDUCATION AND TREATMENT OF CHILDREN,0748-8491,1,0.476,
EDUCATION AND URBAN SOCIETY,0013-1245,1.2,0.554,
EDUCATION AS CHANGE,1682-3206,0.5,0.344,
EDUCATION CITIZENSHIP AND SOCIAL JUSTICE,1746-1979,0.6,0.326,
EDUCATION ECONOMICS,0964-5292,1.2,0.653,
EDUCATION FINANCE AND POLICY,1557-3060,2.1,1.794,
EDUCATION FOR CHEMICAL ENGINEERS,1749-7728,3.9,0.379,
EDUCATION FOR HEALTH,1357-6283,0.7,0.482,
EDUCATION FOR INFORMATION,0167-8329,0.9,2.04,
EDUCATION FOR PRIMARY CARE,1473-9879,1.3,0.327,
EDUCATION IN THE KNOWLEDGE SOCIETY,2444-8729,3.9,0.333,
EDUCATION POLICY ANALYSIS ARCHIVES,1068-2341,0.4,0,
EDUCATION SCIENCES,2227-7102,3,0.481,
EDUCATIONAL ACTION RESEARCH,0965-0792,1.2,0.408,
EDUCATIONAL ADMINISTRATION QUARTERLY,0013-161X,3.3,1.609,
EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,2059-0776,1.5,0.331,
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644,2.7,1.471,
EDUCATIONAL ASSESSMENT,1062-7197,1.5,0.608,
EDUCATIONAL ASSESSMENT EVALUATION AND ACCOUNTABILITY,1874-8597,3.9,0.926,
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,0162-3737,3.4,2.338,
EDUCATIONAL FORUM,0013-1725,1.3,0.439,
EDUCATIONAL GERONTOLOGY,0360-1277,1.5,0.41,
EDUCATIONAL MANAGEMENT ADMINISTRATION & LEADERSHIP,1741-1432,3.6,0.874,
EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE,0731-1745,2,0.802,
EDUCATIONAL MEDIA INTERNATIONAL,0952-3987,1.8,0.468,
EDUCATIONAL PHILOSOPHY AND THEORY,0013-1857,2,0.624,
EDUCATIONAL POLICY,0895-9048,1.8,1.01,
EDUCATIONAL PSYCHOLOGIST,0046-1520,8.8,4.305,
EDUCATIONAL PSYCHOLOGY,0144-3410,3.2,1.021,
EDUCATIONAL PSYCHOLOGY IN PRACTICE,0266-7363,0.8,0.323,
EDUCATIONAL PSYCHOLOGY REVIEW,1040-726X,10.1,3.393,
EDUCATIONAL RESEARCH,0013-1881,3.5,0.93,
EDUCATIONAL RESEARCH AND EVALUATION,1380-3611,1.4,0.868,
EDUCATIONAL RESEARCH FOR POLICY AND PRACTICE,1570-2081,1.8,0.387,
EDUCATIONAL RESEARCH FOR SOCIAL CHANGE,2221-4070,0.5,0.342,
EDUCATIONAL RESEARCH REVIEW,1747-938X,11.7,4.172,
EDUCATIONAL RESEARCHER,0013-189X,8.2,3.299,
EDUCATIONAL REVIEW,0013-1911,3.3,1.054,
EDUCATIONAL STUDIES,0305-5698,1.7,0.473,
EDUCATIONAL STUDIES IN MATHEMATICS,0013-1954,3.2,1.115,
EDUCATIONAL STUDIES-AESA,0013-1946,0.9,0.58,
EDUCATIONAL TECHNOLOGY & SOCIETY,1176-3647,4,0.974,
EDUCATIONAL THEORY,0013-2004,1,0.411,
EDUWEB-REVISTA DE TECNOLOGIA DE INFORMACION Y COMUNICACION EN EDUCACION,1856-7576,0.4,0.049,
EESTI JA SOOME-UGRI KEELETEADUSE AJAKIRI-JOURNAL OF ESTONIAN AND FINNO-UGRIC LINGUISTICS,1736-8987,0.2,0.125,
EFORT OPEN REVIEWS,2396-7544,3.4,1.359,
EFSA JOURNAL,1831-4732,3.3,0.523,
EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,1133-6137,0.2,0.071,
EGE ACADEMIC REVIEW,1303-099X,0.4,0.052,
EGE-REVISTA DE EXPRESION GRAFICA EN LA EDIFICACION,1888-8143,0.3,0,
EGITIM VE BILIM-EDUCATION AND SCIENCE,1300-1337,0.5,0.156,
EGYPTIAN HEART JOURNAL,1110-2608,1.1,0.297,
EGYPTIAN INFORMATICS JOURNAL,1110-8665,5.2,0.617,
EGYPTIAN JOURNAL OF AGRONOMY,0379-3575,0.5,0.074,
EGYPTIAN JOURNAL OF ANAESTHESIA,1110-1849,0.8,0.251,
EGYPTIAN JOURNAL OF AQUATIC RESEARCH,1687-4285,3.5,0,
EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES,2090-4932,0.2,0.023,
EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL,1110-1768,2.4,0.313,
EGYPTIAN JOURNAL OF BOTANY,0375-9237,1.1,0.108,
EGYPTIAN JOURNAL OF BRONCHOLOGY,1687-8426,1.3,0,
EGYPTIAN JOURNAL OF CHEMISTRY,0449-2285,1.3,0.124,
EGYPTIAN JOURNAL OF CHEST DISEASES AND TUBERCULOSIS,0422-7638,0.1,0.06,
EGYPTIAN JOURNAL OF CRITICAL CARE MEDICINE,2090-7303,0.3,0.056,
EGYPTIAN JOURNAL OF DERMATOLOGY AND VENEREOLOGY,1110-6530,0.4,0,
EGYPTIAN JOURNAL OF FORENSIC SCIENCES,2090-536X,1,0.197,
EGYPTIAN JOURNAL OF HAEMATOLOGY,1110-1067,0,0.029,
EGYPTIAN JOURNAL OF MEDICAL HUMAN GENETICS,1110-8630,1.3,0,
EGYPTIAN JOURNAL OF NEUROLOGY PSYCHIATRY AND NEUROSURGERY,1687-8329,1.3,0.261,
EGYPTIAN JOURNAL OF NEUROSURGERY,2520-8225,0.2,0,
EGYPTIAN JOURNAL OF OTOLARYNGOLOGY,1012-5574,0.4,0.091,
EGYPTIAN JOURNAL OF PEDIATRIC ALLERGY AND IMMUNOLOGY,1687-1642,0.3,0.038,
EGYPTIAN JOURNAL OF RADIOLOGY AND NUCLEAR MEDICINE,2090-4762,1,0.148,
EGYPTIAN JOURNAL OF SOIL SCIENCE,0302-6701,1.5,0,
EGYPTIAN JOURNAL OF SURGERY,1110-1121,0.1,0.028,
EGYPTIAN JOURNAL OF VETERINARY SCIENCE,1110-0222,0.5,0,
EGYPTIAN LIVER JOURNAL,2090-6218,0.8,0,
EGYPTIAN PEDIATRIC ASSOCIATION GAZETTE,1110-6638,0.8,0.142,
EGYPTIAN RHEUMATOLOGIST,1110-1164,0.9,0.126,
EGYPTIAN RHEUMATOLOGY AND REHABILITATION,1110-161X,0.8,0,
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION,0193-5380,0.1,0.247,
EIGHTEENTH-CENTURY FICTION,0840-6286,0.1,0.104,
EIGHTEENTH-CENTURY LIFE,0098-2601,0.1,0.208,
EIGHTEENTH-CENTURY MUSIC,1478-5706,0.1,0.253,
EIGHTEENTH-CENTURY STUDIES,0013-2586,0.4,0.563,
EIGSE-A JOURNAL OF IRISH STUDIES,0013-2608,0,0.076,
EIKASIA-REVISTA DE FILOSOFIA,1885-5679,0.1,0.075,
EIKASMOS-QUADERNI BOLOGNESI DI FILOLOGIA CLASSICA,1121-8819,0,0.262,
EIKON IMAGO,2254-8718,0.1,0.054,
EINSTEIN-SAO PAULO,1679-4508,1.4,0.338,
EIRE-IRELAND,0013-2683,0.6,0.398,
EIRENE-STUDIA GRAECA ET LATINA,0046-1628,0.1,0.217,
