Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Economics of Transition and Institutional Change,ECON TRANSIT I CHANG,2577-6975,2577-6983,ECONOMICS - SSCI,39,0.611,Q4,6.73,0.455,Q3,0.21,18.51,6.33,0.611,0.5,0.349,0.00015,0.03324,43,100,N/A,10.5,43
Economics of Transportation,ECON TRANSP,2212-0122,2212-0130,Multiple,400,2.829,Q2,64.78,0.773,Q2,0.72,62.54,21.43,2.494,2.707,0.4,0.00058,0.12402,15,93.33,5.9,10.9,14
Economics-The Open Access Open-Assessment E-Journal,ECONOMICS-KIEL,1864-6042,1864-6042,ECONOMICS - SSCI,546,1.103,Q4,18.34,0.377,Q4,0.27,24.47,92.13,1.371,1.077,0,0.00076,0.16312,11,100,5.5,9.1,11
ECONOMIST-NETHERLANDS,ECONOMIST-NETHERLAND,0013-063X,1572-9982,ECONOMICS - SSCI,502,1.533,Q3,33.64,0.502,Q3,0.37,35.18,59.65,1.192,1.511,0.417,0.00049,0.10606,12,100,10.7,7.7,12
ECONOMY AND SOCIETY,ECON SOC,0308-5147,1469-5766,Multiple,3.245,4.182,Q1,85.47,1.842,Q1,1.32,83.6,22.45,3.992,3.909,1.047,0.00227,0.4861,43,100,14.4,9.5,43
ECOSCIENCE,ECOSCIENCE,1195-6860,2376-7626,ECOLOGY - SCIE,2.087,1.344,Q4,18.21,0.282,Q4,0.4,27.78,13.86,1.526,1.295,0.55,0.0003,0.06522,40,97.5,16.1,11.2,39
Ecosphere,ECOSPHERE,2150-8925,2150-8925,ECOLOGY - SCIE,12.509,3.593,Q2,62.72,0.991,Q2,0.82,64.29,95.73,4.057,3.41,0.738,0.01832,3.9151,511,100,4.8,10.5,511
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,Multiple,971,4.971,Q1,77.75,N/A,N/A,0.73,60.34,100,N/A,4.812,0.633,0.00155,0.33185,30,86.67,4,7.4,26
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,Multiple,10.132,6.91,Q1,91.62,1.359,Q1,1.38,89.15,23.69,8.521,6.146,1.314,0.01067,2.28204,156,89.1,4.5,6.7,139
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,12.357,4.345,Q2,71.39,1.187,Q2,1.13,81.75,24.73,4.921,4.204,0.717,0.00728,1.55739,138,98.55,10.8,9.7,136
ECOTOXICOLOGY,ECOTOXICOLOGY,0963-9292,1573-3017,Multiple,7.966,2.935,Q3,50,0.453,Q3,0.66,53.86,7.16,3.272,2.792,0.47,0.00314,0.67201,168,96.43,8.5,9.7,162
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,0147-6513,1090-2414,Multiple,56.014,7.129,Q1,93.09,0.874,Q1,1.48,94.5,45.55,7.284,6.605,2.009,0.04012,8.5751,1.75,96.74,3.6,6.5,1.693
ECS Journal of Solid State Science and Technology,ECS J SOLID STATE SC,2162-8769,2162-8777,Multiple,5.5,2.483,Q3,44.41,0.323,Q3,0.37,33.43,25.31,2.127,2.094,0.601,0.0055,1.17704,547,93.97,3.8,6.9,514
Educacion XX1,EDUC XX1,1139-613X,2174-5374,EDUCATION & EDUCATIONAL RESEARCH - SSCI,703,3.077,Q2,68.35,0.6,Q3,1.96,92.76,98.99,2.737,3,1.206,0.00095,0.2033,34,97.06,3.9,6.5,33
Education and Information Technologies,EDUC INF TECHNOL,1360-2357,1573-7608,EDUCATION & EDUCATIONAL RESEARCH - SSCI,4.553,3.666,Q1,76.97,0.613,Q3,1.87,91.41,13.07,3.605,3.187,0.99,0.0058,1.24103,406,94.09,2.6,6.8,382
Education and Training,EDUC TRAIN,0040-0912,1758-6127,EDUCATION & EDUCATIONAL RESEARCH - SSCI,3.29,3.058,Q2,67.98,0.532,Q4,1.46,84.1,2.68,3.469,2.535,0.652,0.00177,0.37827,69,97.1,8.1,8.4,67
Education and Training in Autism and Developmental Disabilities,EDUC TRAIN AUTISM DE,2154-1647,N/A,Multiple,840,1.078,Q4,7.95,0.529,Q3,0.55,30.98,0,1.878,1.031,0.031,0.00082,0.17617,32,75,7.1,9.5,24
Education and Treatment of Children,EDUC TREAT CHILD,0748-8491,1934-8924,Multiple,1.249,1.096,Q4,10.23,0.439,Q4,0.54,28.53,0,1.633,0.942,0.267,0.00053,0.11406,30,76.67,10.8,9.4,23
EDUCATION AND URBAN SOCIETY,EDUC URBAN SOC,0013-1245,1552-3535,Multiple,1.102,1.19,Q4,12.55,0.577,Q3,0.59,44.67,3.24,1.524,1.092,0.068,0.00135,0.2903,74,98.65,9.1,10.1,73
Education as Change,EDUC CHANGE,1682-3206,1947-9417,EDUCATION & EDUCATIONAL RESEARCH - SSCI,284,0.302,Q4,2.06,0.322,Q4,0.27,23.48,85.92,0.881,0.264,0.056,0.00043,0.09359,18,100,7,8,18
Education Finance and Policy,EDUC FINANC POLICY,1557-3060,1557-3079,Multiple,803,1.778,Q3,39.71,2.567,Q1,1.03,77.46,0,2.923,1.704,1.333,0.00285,0.60976,30,100,6.3,9.1,30
Education for Chemical Engineers,EDUC CHEM ENG,N/A,1749-7728,Multiple,583,3.2,Q2,62.5,0.297,Q3,0.95,81.45,6.87,2.718,1.747,1.304,0.0004,0.08562,56,96.43,2.8,6.7,54
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,0013-161X,1552-3519,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.723,3.629,Q1,76.22,1.545,Q1,1.99,93.03,0,4.691,3.371,0.16,0.00199,0.42658,25,100,11.6,8.9,25
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,EDUC PSYCHOL MEAS,0013-1644,1552-3888,Multiple,12.579,3.088,Q1,80.77,1.658,Q1,0.93,76.14,9.33,3.596,2.818,0.446,0.00452,0.96623,56,100,25.7,12.5,56
Educational Assessment Evaluation and Accountability,EDUC ASSESS EVAL ACC,1874-8597,1874-8600,EDUCATION & EDUCATIONAL RESEARCH - SSCI,719,3.479,Q2,74.34,0.899,Q2,1.63,87.62,28,3.18,3.333,0.37,0.00085,0.18247,27,100,7.2,10,27
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,0162-3737,1935-1062,EDUCATION & EDUCATIONAL RESEARCH - SSCI,3.051,3.704,Q1,77.72,3.015,Q1,2,93.17,3.23,4.889,3.426,0.513,0.00412,0.88154,39,100,11.8,7.3,39
EDUCATIONAL GERONTOLOGY,EDUC GERONTOL,0360-1277,1521-0472,Multiple,1.855,1.389,Q4,15.92,0.31,Q4,0.49,37.28,5.26,1.516,1.254,0.133,0.00094,0.20281,45,100,9.8,8.4,45
EDUCATIONAL LEADERSHIP,EDUC LEADERSHIP,0013-1784,1943-5878,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.318,0.451,Q4,3.56,0.165,Q4,0.15,15.36,0,0.479,0.424,0.147,0.0006,0.12939,68,100,18.1,6.7,68
Educational Management Administration & Leadership,EDUC MANAG ADM LEAD,1741-1432,1741-1440,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.201,2.569,Q2,54.87,0.699,Q3,1.66,88.29,13.03,3.267,1.964,0.828,0.00236,0.50551,87,87.36,5.2,9,76
Educational Measurement-Issues and Practice,EDUC MEAS-ISSUES PRA,0731-1745,1745-3992,Multiple,1.243,1.402,Q4,16.67,0.804,Q2,0.62,46.89,1.47,1.808,1.134,1.625,0.00131,0.2808,24,100,11.9,8.1,24
Educational Philosophy and Theory,EDUC PHILOS THEORY,0013-1857,1469-5812,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.359,2.054,Q3,38.39,0.6,Q3,0.8,57.71,6.57,1.855,1.579,0.528,0.00373,0.79891,123,98.37,4.9,9.6,121
EDUCATIONAL POLICY,EDUC POLICY,0895-9048,1552-3896,EDUCATION & EDUCATIONAL RESEARCH - SSCI,1.561,1.761,Q3,26.4,1.157,Q1,1.23,76.25,2.55,2.395,1.593,0.855,0.00236,0.50505,83,97.59,8.1,10.2,81
EDUCATIONAL PSYCHOLOGIST,EDUC PSYCHOL-US,0046-1520,1532-6985,Multiple,8.108,8.209,Q1,98.31,3.989,Q1,3.58,99.39,4.84,11.302,8.07,4.526,0.00401,0.85843,19,100,15.3,7.6,19
Educational Psychology,EDUC PSYCHOL-UK,0144-3410,1469-5820,Multiple,3.685,3.117,Q2,68.73,0.864,Q2,1.38,80.85,11.01,3.193,2.963,1.554,0.00331,0.70881,56,100,8.8,10.6,56
EDUCATIONAL PSYCHOLOGY REVIEW,EDUC PSYCHOL REV,1040-726X,1573-336X,PSYCHOLOGY. EDUCATIONAL - SSCI,8.065,8.24,Q1,99.18,3.382,Q1,2.3,94,36.57,11.025,7.694,1.463,0.00761,1.62722,54,44.44,10.7,9.8,24
EDUCATIONAL RESEARCH,EDUC RES-UK,0013-1881,1469-5847,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.414,2.968,Q2,66.48,0.99,Q2,1.2,75.17,25.88,3.415,2.823,0.522,0.00133,0.28556,23,91.3,14.3,8.6,21
Educational Research Review,EDUC RES REV-NETH,1747-938X,1878-0385,EDUCATION & EDUCATIONAL RESEARCH - SSCI,4.82,10.207,Q1,99.06,3.885,Q1,2.64,97.63,32.71,14.71,10.122,1.48,0.00572,1.22277,25,8,6.2,8.1,2
Educational Researcher,EDUC RESEARCHER,0013-189X,1935-102X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,8.994,6.386,Q1,96.07,3.449,Q1,2.96,98.58,5.47,7.053,6.144,1.348,0.00871,1.86258,69,68.12,12.6,7.2,47
EDUCATIONAL REVIEW,EDUC REV,0013-1911,1465-3397,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.128,3.829,Q1,80.71,0.962,Q2,1.53,85.99,18.22,3.585,3.559,0.72,0.00193,0.41409,125,94.4,7.6,8.6,118
EDUCATIONAL STUDIES,EDUC STUD-UK,0305-5698,1465-3400,EDUCATION & EDUCATIONAL RESEARCH - SSCI,1.392,1.5,Q4,18.91,0.431,Q4,0.79,56.63,9.09,1.631,1.448,0.457,0.00112,0.23973,92,93.48,9.3,10.4,86
Educational Studies in Mathematics,EDUC STUD MATH,0013-1954,1573-0816,EDUCATION & EDUCATIONAL RESEARCH - SSCI,3.752,2.853,Q2,63.86,0.976,Q2,1.34,79.09,37.55,2.734,2.338,0.871,0.00282,0.60425,101,98.02,12.2,10.8,99
EDUCATIONAL TECHNOLOGY & SOCIETY,EDUC TECHNOL SOC,1176-3647,1436-4522,EDUCATION & EDUCATIONAL RESEARCH - SSCI,4.513,2.633,Q2,56.74,0.978,Q2,1.93,92.49,0,4.358,2.4,1.014,0.00313,0.67085,69,95.65,7.5,5.6,66
EFORT Open Reviews,EFORT OPEN REV,2396-7544,2058-5241,ORTHOPEDICS - SCIE,2.037,4.775,Q1,90.12,1.438,Q1,1.57,90.94,96.23,5.471,4.659,0.319,0.00498,1.06586,119,53.78,3.3,7.8,64
EFSA Journal,EFSA J,N/A,1831-4732,FOOD SCIENCE & TECHNOLOGY - SCIE,17.274,3.48,Q2,54.2,0.515,Q2,0.66,55.79,94.95,3.817,2.79,1.361,0.00942,2.01512,424,94.81,6.5,8.3,402
Egitim ve Bilim-Education and Science,EGIT BILIM,1300-1337,1300-1337,EDUCATION & EDUCATIONAL RESEARCH - SSCI,1.018,0.65,Q4,5.43,0.154,Q4,0.34,28.21,98.33,0.822,0.594,0.1,0.00058,0.1247,80,100,7.5,11.2,80
Egyptian Informatics Journal,EGYPT INFORM J,1110-8665,2090-4754,Multiple,1.037,4.195,Q2,63.72,0.611,Q2,0.97,72.22,93.33,4.648,4.146,2.143,0.00062,0.13393,49,89.8,5,6.9,44
Egyptian Journal of Biological Pest Control,EGYPT J BIOL PEST CO,1110-1768,2536-9342,ENTOMOLOGY - SCIE,1.127,2.055,Q2,59.5,0.214,Q4,0.8,65.24,99.74,1.666,1.674,0.507,0.00103,0.221,150,92,3,10.8,138
Egyptian Journal of Remote Sensing and Space Sciences,EGYPT J REMOTE SENS,1110-9823,2090-2476,Multiple,1.755,6.393,Q1,77.94,1.003,Q2,1.04,78.24,100,7.169,6.161,2.091,0.00141,0.30133,44,97.73,4.5,11.3,43
EJNMMI Physics,EJNMMI PHYS,2197-7364,2197-7364,RADIOLOGY. NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE,1.216,4.654,Q2,70.96,1.133,Q1,1.06,83.25,99.45,4.956,3.942,0.684,0.00218,0.4669,79,97.47,3.3,6.8,77
EJNMMI Research,EJNMMI RES,2191-219X,2191-219X,RADIOLOGY. NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE,2.946,3.434,Q2,52.57,0.825,Q2,0.84,68.25,99.74,3.728,3.297,0.589,0.00428,0.91627,124,93.55,4.2,6.1,116
EJSO,EJSO-EUR J SURG ONC,0748-7983,1532-2157,Multiple,13.825,4.037,Q1,80.81,1.106,Q1,1.1,80.82,9.38,4.533,3.797,1.556,0.01516,3.23985,410,86.59,5.7,6.9,355
EKONOMICKY CASOPIS,EKON CAS,0013-3035,0013-3035,ECONOMICS - SSCI,315,0.544,Q4,5.41,0.102,Q4,0.25,22.37,44.44,0.62,0.524,0.02,0.00024,0.05305,50,100,5.9,9.4,50
Eksploatacja i Niezawodnosc-Maintenance and Reliability,EKSPLOAT NIEZAWODN,1507-2711,1507-2711,ENGINEERING. MULTIDISCIPLINARY - SCIE,1.218,2.742,Q2,57.07,0.219,Q4,1.03,82.57,98.74,1.96,1.767,1.038,0.00082,0.17705,80,100,3.7,5.3,80
ELECTORAL STUDIES,ELECT STUD,0261-3794,1873-6890,POLITICAL SCIENCE - SSCI,4.397,2.08,Q2,54.28,1.649,Q2,0.93,64.54,14.65,2.868,1.787,0.586,0.0075,1.60401,140,100,8.3,9.8,140
ELECTRIC POWER COMPONENTS AND SYSTEMS,ELECTR POW COMPO SYS,1532-5008,1532-5016,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,2.47,1.276,Q4,16.85,0.198,Q4,0.29,21.95,1.12,1.424,1.218,0.218,0.00151,0.32444,101,100,6.2,7.2,101
ELECTRIC POWER SYSTEMS RESEARCH,ELECTR POW SYST RES,0378-7796,1873-2046,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,15.918,3.818,Q2,65.04,0.656,Q2,1,74.27,4.38,3.789,3.233,1.012,0.01374,2.93809,753,98.27,5,6.2,740
ELECTRICAL ENGINEERING,ELECTR ENG,0948-7921,1432-0487,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,1.899,1.63,Q3,26.27,0.236,Q4,0.45,41.13,4.87,1.671,1.365,0.308,0.00176,0.378,286,99.65,3.5,6.4,285
ELECTRICAL ENGINEERING IN JAPAN,ELECTR ENG JPN,0424-7760,1520-6416,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,713,0.496,Q4,4.17,0.072,Q4,0.1,3.05,2.31,0.389,0.457,0.136,0.0003,0.06557,44,100,11.8,7.6,44
ELECTROANALYSIS,ELECTROANAL,1040-0397,1521-4109,Multiple,13.315,3.077,Q3,47.7,0.396,Q3,0.52,58.33,3.17,2.932,2.905,0.613,0.00681,1.4558,271,89.3,7.7,5.9,242
Electrocatalysis,ELECTROCATALYSIS-US,1868-2529,1868-5994,Multiple,1.65,2.933,Q3,35.89,0.466,Q3,0.43,51.19,13.07,2.891,2.77,0.469,0.0015,0.32168,64,93.75,4.7,6.9,60
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,2520-8489,2520-8136,ELECTROCHEMISTRY - SCIE,2.407,32.804,Q1,98.33,5.772,Q1,2.04,94.05,18.07,31.931,31.824,3.281,0.00394,0.84372,32,3.13,2.3,4.4,1
ELECTROCHEMISTRY,ELECTROCHEMISTRY,1344-3542,2186-2451,ELECTROCHEMISTRY - SCIE,1.785,1.777,Q4,15,0.257,Q4,0.2,13.1,97,1.451,1.578,0.871,0.00099,0.21218,101,100,8,8.3,101
ELECTROCHEMISTRY COMMUNICATIONS,ELECTROCHEM COMMUN,1388-2481,1873-1902,ELECTROCHEMISTRY - SCIE,21.247,5.443,Q2,61.67,0.802,Q2,0.8,77.38,99.5,4.71,5.199,1.961,0.00877,1.87544,203,85.71,9.4,5.5,174
ELECTROCHIMICA ACTA,ELECTROCHIM ACTA,0013-4686,1873-3859,ELECTROCHEMISTRY - SCIE,141.066,7.336,Q1,78.33,0.888,Q2,1.18,84.52,3.58,6.432,6.887,1.7,0.08985,19.20107,1.712,99.71,5.9,5.5,1.707
ELECTROMAGNETIC BIOLOGY AND MEDICINE,ELECTROMAGN BIOL MED,1536-8378,1536-8386,Multiple,984,1.932,Q3,34.57,0.307,Q3,0.47,42.04,4.8,2.079,1.705,0.297,0.00055,0.11767,37,89.19,6.8,9.5,33
ELECTROMAGNETICS,ELECTROMAGNETICS,0272-6343,1532-527X,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,530,1.042,Q4,12.86,0.135,Q4,0.24,18.17,0.71,0.753,1.01,0.114,0.0003,0.06433,44,100,11.8,6.5,44
Electronic Commerce Research,ELECTRON COMMER RES,1389-5753,1572-9362,Multiple,1.551,3.462,Q3,34.73,0.594,Q3,0.78,59.15,5.99,3.913,2.932,1.27,0.00116,0.24952,100,97,4.5,8.3,97
Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,1873-7846,Multiple,4.943,5.622,Q1,79.57,1.04,Q1,1.25,81.5,3.56,6.671,5.081,0.827,0.00342,0.73268,81,96.3,6.2,6.1,78
ELECTRONIC COMMUNICATIONS IN PROBABILITY,ELECTRON COMMUN PROB,N/A,1083-589X,STATISTICS & PROBABILITY - SCIE,955,0.709,Q4,7.6,0.773,Q3,0.28,16.26,98.17,0.682,0.691,0.111,0.00307,0.65632,54,100,8.4,12.8,54
ELECTRONIC JOURNAL OF BIOTECHNOLOGY,ELECTRON J BIOTECHN,0717-3458,0717-3458,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,2.659,2.826,Q3,32.59,0.499,Q3,0.61,47.01,100,3.511,2.791,0.797,0.00152,0.32508,64,96.88,6.6,8.5,62
ELECTRONIC JOURNAL OF COMBINATORICS,ELECTRON J COMB,1077-8926,1077-8926,Multiple,2.873,0.69,Q3,26.05,0.685,Q2,0.36,17.51,58,0.767,0.616,0.135,0.00723,1.54712,223,100,8.9,16,223
Electronic Journal of Differential Equations,ELECTRON J DIFFER EQ,1072-6691,N/A,Multiple,2.967,1.129,Q2,62.2,0.354,Q4,0.57,39.56,0,0.967,0.966,0.184,0.00389,0.83204,87,100,7.3,13.9,87
Electronic Journal of Linear Algebra,ELECTRON J LINEAR AL,1537-9582,1081-3810,MATHEMATICS - SCIE,790,0.882,Q3,43.52,0.52,Q3,0.66,51.79,5.77,0.937,0.836,0.239,0.00132,0.28405,46,97.83,8.5,13.7,45
ELECTRONIC JOURNAL OF PROBABILITY,ELECTRON J PROBAB,1083-6489,1083-6489,STATISTICS & PROBABILITY - SCIE,2.293,1.134,Q3,26,1.351,Q2,0.46,42.64,97.88,1.338,1.059,0.256,0.0079,1.6894,117,100,7.6,12.7,117
Electronic Journal of Qualitative Theory of Differential Equations,ELECTRON J QUAL THEO,1417-3875,1417-3875,Multiple,1.356,1.316,Q2,71.84,0.387,Q4,1.11,82.38,97.46,1.185,1.23,0.371,0.00196,0.41923,89,100,6.1,13.7,89
Electronic Journal of Statistics,ELECTRON J STAT,1935-7524,1935-7524,STATISTICS & PROBABILITY - SCIE,2.756,1.225,Q3,33.2,1.561,Q2,0.5,48.77,99.52,1.747,1.115,0.173,0.00996,2.13037,162,100,6.8,11.5,162
ELECTRONIC LIBRARY,ELECTRON LIBR,0264-0473,1758-616X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1.134,1.675,Q3,33.93,0.292,Q3,0.47,55.79,1.16,1.642,1.437,0.128,0.00091,0.1955,47,91.49,6.2,6.6,43
Electronic Markets,ELECTRON MARK,1019-6781,1422-8890,Multiple,2.234,6.017,Q2,67.92,0.963,Q2,1.2,77.12,43.53,6.378,4.846,1.849,0.00176,0.37719,53,92.45,4.6,6.8,49
Electronic Materials Letters,ELECTRON MATER LETT,1738-8090,2093-6788,MATERIALS SCIENCE. MULTIDISCIPLINARY - SCIE,1.867,3.151,Q3,41.01,0.307,Q4,0.46,42.39,1.28,2.28,2.548,0.838,0.0013,0.27792,68,92.65,5.2,6.1,63
Electronic Research Announcements in Mathematical Sciences,ELECTRON RES ANNOUNC,N/A,1935-9179,MATHEMATICS - SCIE,144,1.4,Q1,76.36,N/A,N/A,0.75,60.65,100,N/A,1.4,N/A,0.00034,0.07477,0,N/A,13,N/A,0
Electronic Research Archive,ELECTRON RES ARCH,N/A,2688-1594,MATHEMATICS - SCIE,181,1.604,Q1,81.48,0.452,Q3,1.28,87.66,100,1.604,1.429,0.262,0.00039,0.08353,130,100,1.4,11.1,130
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,ELECTRON T NUMER ANA,1068-9613,1068-9613,MATHEMATICS. APPLIED - SCIE,863,1.213,Q3,38.39,0.606,Q3,0.52,32.65,0,1.163,1.213,0.2,0.00105,0.22648,30,100,13.1,13.4,30
Electronics,ELECTRONICS-SWITZ,N/A,2079-9292,Multiple,14.393,2.69,Q3,49.82,0.35,Q3,0.6,60.96,95.44,2.657,2.205,0.772,0.01445,3.08899,3.11,94.31,1.9,5.1,2.933
Electronics and Communications in Japan,ELECTR COMMUN JPN,1942-9533,1942-9541,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,413,0.36,Q4,0.91,0.077,Q4,0.09,2.76,4.35,0.378,0.36,0.118,0.00033,0.07112,34,100,6.9,9.7,34
ELECTRONICS LETTERS,ELECTRON LETT,0013-5194,1350-911X,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,17.366,1.202,Q4,15.76,0.278,Q3,0.36,28.05,25.8,1.177,1.18,0.159,0.00977,2.0881,372,100,12.3,5.3,372
ELECTROPHORESIS,ELECTROPHORESIS,0173-0835,1522-2683,Multiple,14.205,3.595,Q2,64.94,0.453,Q3,0.68,62.12,9.09,2.99,2.951,0.803,0.00658,1.40649,249,82.73,9.7,7.7,206
Elektronika Ir Elektrotechnika,ELEKTRON ELEKTROTECH,1392-1215,N/A,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,841,1.059,Q4,13.22,0.098,Q4,0.27,20.78,96.81,0.749,0.919,0.189,0.00037,0.08052,53,100,7.8,5.5,53
Elementa-Science of the Anthropocene,ELEMENTA-SCI ANTHROP,2325-1026,2325-1026,Multiple,2.329,4.569,Q2,67.55,1.401,Q1,0.93,73.61,98.8,5.507,4.138,1.017,0.00464,0.9929,120,90,3.7,8.2,108
ELEMENTARY SCHOOL JOURNAL,ELEM SCHOOL J,0013-5984,1554-8279,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.698,1.789,Q3,30.15,0.986,Q2,0.96,65.7,0,2.338,1.772,0.423,0.00132,0.28417,26,100,14.3,10.3,26
Elements,ELEMENTS,1811-5209,1811-5217,Multiple,4.32,5.429,Q1,89.08,1.725,Q1,1.48,91.94,7.84,4.905,5.403,2.2,0.00311,0.6653,25,100,9.7,7,25
eLife,ELIFE,2050-084X,2050-084X,BIOLOGY - SCIE,89.502,8.713,Q1,92.02,4.208,Q1,2.21,97.79,99.49,9.393,8.392,1.7,0.28523,60.95439,2.003,98.6,3.9,8.5,1.975
ELT Journal,ELT J,0951-0893,1477-4526,Multiple,2.22,2.481,N/A,82.73,0.862,Q1,1.87,93.92,3.03,2.93,2.247,0.582,0.00151,0.32391,55,100,11.7,7.7,55
eMagRes,EMAGRES,2055-6101,2055-6101,SPECTROSCOPY - SCIE,428,0.852,Q4,19.77,0.462,Q2,0.44,31.52,0,1.536,0.833,0,0.00067,0.14359,5,100,5.7,7,5
EMBO JOURNAL,EMBO J,0261-4189,1460-2075,Multiple,80.536,14.012,Q1,94.09,5.194,Q1,1.84,93.93,51.55,14.159,13.832,3.414,0.05438,11.62255,263,91.63,15.4,7.5,241
EMBO Molecular Medicine,EMBO MOL MED,1757-4676,1757-4684,MEDICINE. RESEARCH & EXPERIMENTAL - SCIE,13.308,14.26,Q1,93.88,4.057,Q1,2.62,96.67,86.35,14.409,14.149,2.549,0.01988,4.25036,144,89.58,5.3,6.9,129
EMBO REPORTS,EMBO REP,1469-221X,1469-3178,Multiple,21.705,9.071,Q1,88.01,3.434,Q1,1.18,83.64,41.96,10.508,8.976,1.869,0.02695,5.75956,251,92.83,7.2,7.9,233
Emergencias,EMERGENCIAS,1137-6821,2386-5857,EMERGENCY MEDICINE - SCIE,932,5.345,Q1,85.94,0.518,Q3,1.44,89.42,0,2.645,3.77,1.513,0.00119,0.25468,39,97.44,2.6,5.3,38
Emergency Medicine Australasia,EMERG MED AUSTRALAS,1742-6731,1742-6723,EMERGENCY MEDICINE - SCIE,2.647,2.279,Q3,39.06,0.53,Q3,0.8,54.81,2.49,2.12,1.93,0.622,0.00319,0.6824,111,90.99,5.5,5.6,101
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,EMERG MED CLIN N AM,0733-8627,1558-0539,EMERGENCY MEDICINE - SCIE,1.752,2,Q3,35.94,0.637,Q2,0.9,64.42,0,2.678,1.929,0.206,0.00163,0.34903,68,100,7.6,8.1,68
Emergency Medicine International,EMERG MED INT,2090-2840,2090-2859,EMERGENCY MEDICINE - SCIE,633,1.621,Q3,29.69,0.381,Q4,0.57,41.35,99.5,1.683,1.538,0.368,0.00073,0.15642,57,84.21,3.8,6.8,48
EMERGENCY MEDICINE JOURNAL,EMERG MED J,1472-0205,1472-0213,EMERGENCY MEDICINE - SCIE,7.042,3.814,Q2,70.31,1.041,Q1,1.28,83.65,16.16,3.684,3.536,1.005,0.00556,1.18942,207,90.34,8.8,6.3,187
Emerging Adulthood,EMERG ADULTHOOD,2167-6968,2167-6984,Multiple,1.439,1.83,Q3,35.87,0.697,Q2,0.64,46.92,4.7,2.645,1.617,0.731,0.00171,0.36642,93,98.92,5.8,9.2,92
EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,1080-6040,1080-6059,Multiple,48.544,16.126,Q1,92.24,3.597,Q1,1.65,91.24,97.35,10.717,15.838,4.846,0.05877,12.56075,403,98.76,7.7,4.6,398
EMERGING MARKETS FINANCE AND TRADE,EMERG MARK FINANC TR,1540-496X,1558-0938,Multiple,4.931,4.859,Q1,93.23,0.523,Q3,1.17,80.96,1.21,3.46,4.394,1.051,0.00517,1.10658,330,100,2.5,9.8,330
Emerging Markets Review,EMERG MARK REV,1566-0141,1873-6173,Multiple,2.739,4.359,Q1,82.45,0.936,Q2,1.49,88.91,2.82,4.888,3.974,1.65,0.00231,0.49391,60,98.33,6,10.7,59
Emerging Materials Research,EMERG MATER RES,2046-0147,2046-0155,MATERIALS SCIENCE. MULTIDISCIPLINARY - SCIE,604,1.795,Q4,20.43,0.194,Q4,0.31,24.76,1.4,1.429,1.711,0.435,0.00067,0.14419,46,100,1.8,7.5,46
Emerging Microbes & Infections,EMERG MICROBES INFEC,N/A,2222-1751,Multiple,11.995,19.568,Q1,95.22,3.626,Q1,2.77,95.76,99.68,14.211,19.334,3.214,0.02532,5.41109,206,93.69,1.8,4.9,193
