JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,0924-977X,1873-7862,5.6,1.514
EUROPEAN PHYSICAL EDUCATION REVIEW,EUR PHYS EDUC REV,1356-336X,1741-2749,3.4,0.628
EUROPEAN PHYSICAL JOURNAL A,EUR PHYS J A,1434-6001,1434-601X,2.7,0.751
EUROPEAN PHYSICAL JOURNAL B,EUR PHYS J B,1434-6028,1434-6036,1.6,0.348
EUROPEAN PHYSICAL JOURNAL C,EUR PHYS J C,1434-6044,1434-6052,4.4,1.169
EUROPEAN PHYSICAL JOURNAL D,EUR PHYS J D,1434-6060,1434-6079,1.8,0.356
EUROPEAN PHYSICAL JOURNAL E,EUR PHYS J E,1292-8941,1292-895X,1.8,0.471
EUROPEAN PHYSICAL JOURNAL H,EUR PHYS J H,2102-6459,2102-6467,1,0.396
EUROPEAN PHYSICAL JOURNAL PLUS,EUR PHYS J PLUS,2190-5444,2190-5444,3.4,0.527
EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,EUR PHYS J-APPL PHYS,1286-0042,1286-0050,1,0.156
EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,EUR PHYS J-SPEC TOP,1951-6355,1951-6401,2.8,0.619
EUROPEAN PLANNING STUDIES,EUR PLAN STUD,0965-4313,1469-5944,2.8,0.788
EUROPEAN POLITICAL SCIENCE,EUR POLIT SCI,1680-4333,1682-0983,2,0.793
EUROPEAN POLITICAL SCIENCE REVIEW,EUR POLIT SCI REV,1755-7739,1755-7747,3.2,1.919
EUROPEAN POLYMER JOURNAL,EUR POLYM J,0014-3057,1873-1945,6,0.669
EUROPEAN POULTRY SCIENCE,EUR POULTRY SCI,1612-9199,1612-9199,0.6,0.155
EUROPEAN PSYCHIATRY,EUR PSYCHIAT,0924-9338,1778-3585,7.8,1.9
EUROPEAN PSYCHOLOGIST,EUR PSYCHOL,1016-9040,1878-531X,4.6,1.64
EUROPEAN RADIOLOGY,EUR RADIOL,0938-7994,1432-1084,5.9,1.341
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,0903-1936,1399-3003,24.3,6.948
EUROPEAN REVIEW,EUR REV,1062-7987,1474-0575,0.4,0.218
EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES,EUR REV MED PHARMACO,1128-3602,1128-3602,3.3,0.498
EUROPEAN REVIEW OF AGING AND PHYSICAL ACTIVITY,EUR REV AGING PHYS A,1813-7253,1861-6909,6.3,1.411
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,EUR REV AGRIC ECON,0165-1587,1464-3618,3.4,1.132
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,EUR REV APPL PSYCHOL,1162-9088,1162-9088,1,0.249
EUROPEAN REVIEW OF ECONOMIC HISTORY,EUR REV ECON HIST,1361-4916,1474-0044,1.4,1.49
EUROPEAN REVIEW OF HISTORY-REVUE EUROPEENNE D HISTOIRE,EUR REV HIST,1350-7486,1469-8293,0.4,0.27
EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,EUR REV SOC PSYCHOL,1046-3283,1479-277X,7.2,3.931
EUROPEAN SOCIETIES,EUR SOC,1461-6696,1469-8307,8.1,2.057
EUROPEAN SOCIOLOGICAL REVIEW,EUR SOCIOL REV,0266-7215,1468-2672,3.2,1.78
EUROPEAN SPINE JOURNAL,EUR SPINE J,0940-6719,1432-0932,2.8,0.876
EUROPEAN SPORT MANAGEMENT QUARTERLY,EUR SPORT MANAG Q,1618-4742,1746-031X,3.4,0.754
EUROPEAN SURGERY-ACTA CHIRURGICA AUSTRIACA,EUR SURG,1682-8631,1682-4016,0.6,0.211
EUROPEAN SURGICAL RESEARCH,EUR SURG RES,0014-312X,1421-9921,1.6,0.553
EUROPEAN TRANSPORT RESEARCH REVIEW,EUR TRANSP RES REV,1867-0717,1866-8887,4.3,0.87
EUROPEAN UNION POLITICS,EUR UNION POLIT,1465-1165,1741-2757,2.3,1.377
EUROPEAN URBAN AND REGIONAL STUDIES,EUR URBAN REG STUD,0969-7764,1461-7145,3.1,1.211
EUROPEAN UROLOGY,EUR UROL,0302-2838,1873-7560,23.4,6.15
EUROPE-ASIA STUDIES,EUROPE-ASIA STUD,0966-8136,1465-3427,1.4,0.85
EUROPE-REVUE LITTERAIRE MENSUELLE,EUROPE-REV LIT MENS,0014-2751,0014-2751,0.1,0.049
EUROSURVEILLANCE,EUROSURVEILLANCE,1025-496X,1560-7917,19,3.952
EVALUATION,EVALUATION-US,1356-3890,1461-7153,2.4,0.723
EVALUATION & THE HEALTH PROFESSIONS,EVAL HEALTH PROF,0163-2787,1552-3918,2.9,0.896
EVALUATION AND PROGRAM PLANNING,EVAL PROGRAM PLANN,0149-7189,1873-7870,1.6,0.527
EVALUATION REVIEW,EVALUATION REV,0193-841X,1552-3926,0.9,0.809
EVIDENCE & POLICY,EVID POLICY,1744-2648,1744-2656,2.1,0.648
EVODEVO,EVODEVO,N/A,2041-9139,4.1,1.029
EVOLUTION,EVOLUTION,0014-3820,1558-5646,3.3,1.372
EVOLUTION & DEVELOPMENT,EVOL DEV,1520-541X,1525-142X,2.9,0.726
EVOLUTION AND HUMAN BEHAVIOR,EVOL HUM BEHAV,1090-5138,1879-0607,5.1,1.714
EVOLUTION EQUATIONS AND CONTROL THEORY,EVOL EQU CONTROL THE,2163-2480,2163-2480,1.5,0.567
EVOLUTION PSYCHIATRIQUE,EVOL PSYCHIATR,0014-3855,1769-6674,0.6,0.045
EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,1060-1538,1520-6505,3.7,1.91
EVOLUTIONARY APPLICATIONS,EVOL APPL,1752-4571,1752-4571,4.1,1.178
EVOLUTIONARY BIOINFORMATICS,EVOL BIOINFORM,1176-9343,1176-9343,2.6,0.478
EVOLUTIONARY BIOLOGY,EVOL BIOL,0071-3260,1934-2845,2.5,0.856
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,6.8,1.654
EVOLUTIONARY ECOLOGY,EVOL ECOL,0269-7653,1573-8477,1.9,0.595
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,2163-5560,2.8,1.623
EXCEPTIONALITY,EXCEPTIONALITY,0936-2835,1532-7035,1.3,0.544
EXCLI JOURNAL,EXCLI J,1611-2156,1611-2156,4.6,0.701
EXERCISE IMMUNOLOGY REVIEW,EXERC IMMUNOL REV,1077-5552,1077-5552,7.3,1.504
EXPERIMENTAL AGING RESEARCH,EXP AGING RES,0361-073X,1096-4657,1.8,0.415
EXPERIMENTAL AGRICULTURE,EXP AGR,0014-4797,1469-4441,1.6,0.393
EXPERIMENTAL AND APPLIED ACAROLOGY,EXP APPL ACAROL,0168-8162,1572-9702,2.2,0.438
EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,EXP CLIN ENDOCR DIAB,0947-7349,1439-3646,1.8,0.45
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARM,1064-1297,1936-2293,2.3,0.766
EXPERIMENTAL AND CLINICAL TRANSPLANTATION,EXP CLIN TRANSPLANT,1304-0855,2146-8427,0.9,0.199
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,1226-3613,2092-6413,12.8,2.715
EXPERIMENTAL AND MOLECULAR PATHOLOGY,EXP MOL PATHOL,0014-4800,1096-0945,3.6,0.548
EXPERIMENTAL AND THERAPEUTIC MEDICINE,EXP THER MED,1792-0981,1792-1015,2.7,0.413
EXPERIMENTAL ANIMALS,EXP ANIM TOKYO,1341-1357,1881-7122,2.4,0.447
EXPERIMENTAL ASTRONOMY,EXP ASTRON,0922-6435,1572-9508,3,0.893
EXPERIMENTAL BRAIN RESEARCH,EXP BRAIN RES,0014-4819,1432-1106,2,0.568
EXPERIMENTAL CELL RESEARCH,EXP CELL RES,0014-4827,1090-2422,3.7,0.753
EXPERIMENTAL DERMATOLOGY,EXP DERMATOL,0906-6705,1600-0625,3.6,0.794
EXPERIMENTAL ECONOMICS,EXP ECON,1386-4157,1573-6938,2.3,2.312
EXPERIMENTAL EYE RESEARCH,EXP EYE RES,0014-4835,1096-0007,3.4,0.777
EXPERIMENTAL GERONTOLOGY,EXP GERONTOL,0531-5565,1873-6815,3.9,0.895
EXPERIMENTAL HEAT TRANSFER,EXP HEAT TRANSFER,0891-6152,1521-0480,3.5,0.374
EXPERIMENTAL HEMATOLOGY,EXP HEMATOL,0301-472X,1873-2399,2.6,0.995
EXPERIMENTAL LUNG RESEARCH,EXP LUNG RES,0190-2148,1521-0499,1.7,0.379
EXPERIMENTAL MATHEMATICS,EXP MATH,1058-6458,1944-950X,0.5,0.627
EXPERIMENTAL MECHANICS,EXP MECH,0014-4851,1741-2765,2.4,0.566
EXPERIMENTAL NEUROLOGY,EXP NEUROL,0014-4886,1090-2430,5.3,1.165
EXPERIMENTAL PARASITOLOGY,EXP PARASITOL,0014-4894,1090-2449,2.1,0.371
EXPERIMENTAL PHYSIOLOGY,EXP PHYSIOL,0958-0670,1469-445X,2.7,0.708
EXPERIMENTAL PSYCHOLOGY,EXP PSYCHOL,1618-3169,2190-5142,1.3,0.572
EXPERIMENTAL TECHNIQUES,EXP TECHNIQUES,0732-8818,1747-1567,1.6,0.312
EXPERIMENTAL THERMAL AND FLUID SCIENCE,EXP THERM FLUID SCI,0894-1777,1879-2286,3.2,0.742
EXPERIMENTS IN FLUIDS,EXP FLUIDS,0723-4864,1432-1114,2.4,0.716
EXPERT OPINION ON BIOLOGICAL THERAPY,EXPERT OPIN BIOL TH,1471-2598,1744-7682,4.6,0.874
EXPERT OPINION ON DRUG DELIVERY,EXPERT OPIN DRUG DEL,1742-5247,1744-7593,6.6,1.036
EXPERT OPINION ON DRUG DISCOVERY,EXPERT OPIN DRUG DIS,1746-0441,1746-045X,6.3,1.207
EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,EXPERT OPIN DRUG MET,1742-5255,1744-7607,4.3,0.891
EXPERT OPINION ON DRUG SAFETY,EXPERT OPIN DRUG SAF,1474-0338,1744-764X,3.1,0.774
EXPERT OPINION ON EMERGING DRUGS,EXPERT OPIN EMERG DR,1472-8214,1744-7623,3.4,0.765
EXPERT OPINION ON INVESTIGATIONAL DRUGS,EXPERT OPIN INV DRUG,1354-3784,1744-7658,6.1,1.195
EXPERT OPINION ON ORPHAN DRUGS,EXPERT OPIN ORPHAN D,2167-8707,2167-8707,0.8,0.19
EXPERT OPINION ON PHARMACOTHERAPY,EXPERT OPIN PHARMACO,1465-6566,1744-7666,3.2,0.714
EXPERT OPINION ON THERAPEUTIC PATENTS,EXPERT OPIN THER PAT,1354-3776,1744-7674,6.6,1.026
EXPERT OPINION ON THERAPEUTIC TARGETS,EXPERT OPIN THER TAR,1472-8222,1744-7631,5.8,1.543
EXPERT REVIEW OF ANTICANCER THERAPY,EXPERT REV ANTICANC,1473-7140,1744-8328,3.3,0.96
EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,EXPERT REV ANTI-INFE,1478-7210,1744-8336,5.7,1.176
EXPERT REVIEW OF CLINICAL IMMUNOLOGY,EXPERT REV CLIN IMMU,1744-666X,1744-8409,4.4,1.238
EXPERT REVIEW OF CLINICAL PHARMACOLOGY,EXPERT REV CLIN PHAR,1751-2433,1751-2441,4.4,0.93
EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY,EXPERT REV GASTROENT,1747-4124,1747-4132,3.9,1.011
EXPERT REVIEW OF HEMATOLOGY,EXPERT REV HEMATOL,1747-4086,1747-4094,2.8,0.843
EXPERT REVIEW OF MEDICAL DEVICES,EXPERT REV MED DEVIC,1743-4440,1745-2422,3.1,0.815
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,EXPERT REV MOL DIAGN,1473-7159,1744-8352,5.1,1.126
EXPERT REVIEW OF NEUROTHERAPEUTICS,EXPERT REV NEUROTHER,1473-7175,1744-8360,4.3,1.074
EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,EXPERT REV PHARM OUT,1473-7167,1744-8379,2.3,0.644
EXPERT REVIEW OF PROTEOMICS,EXPERT REV PROTEOMIC,1478-9450,1744-8387,3.4,0.767
EXPERT REVIEW OF RESPIRATORY MEDICINE,EXPERT REV RESP MED,1747-6348,1747-6356,3.9,0.982
EXPERT REVIEW OF VACCINES,EXPERT REV VACCINES,1476-0584,1744-8395,6.2,1.553
EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,1462-3994,1462-3994,6.2,1.068
EXPERT SYSTEMS,EXPERT SYST,0266-4720,1468-0394,3.3,0.444
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,8.5,1.276
EXPLICATOR,EXPLICATOR,0014-4940,1939-926X,0.1,0.112
EXPLORATION GEOPHYSICS,EXPLOR GEOPHYS,0812-3985,1834-7533,0.9,0.342
EXPLORATIONS IN ECONOMIC HISTORY,EXPLOR ECON HIST,0014-4983,1090-2457,2.3,2.343
EXPLORE-THE JOURNAL OF SCIENCE AND HEALING,EXPLORE-NY,1550-8307,1878-7541,2.4,0.474
EXPOSITIONES MATHEMATICAE,EXPO MATH,0723-0869,1878-0792,0.7,0.741
EXPOSITORY TIMES,EXPOSITORY TIMES,0014-5246,1745-5308,0.1,0.078
EXPOSURE AND HEALTH,EXPOS HEALTH,2451-9766,2451-9685,6.7,1.115
EXPRESS POLYMER LETTERS,EXPRESS POLYM LETT,1788-618X,1788-618X,3.3,0.4
EXPRESSIONS MAGHREBINES,EXPR MAGHREBINES,1540-0085,2475-2401,0.1,0.164
EXTRAPOLATION,EXTRAPOLATION,0014-5483,2047-7708,0.3,0.191
EXTREMES,EXTREMES,1386-1999,1572-915X,1.3,0.857
EYE,EYE,0950-222X,1476-5454,3.9,1.05
EYE & CONTACT LENS-SCIENCE AND CLINICAL PRACTICE,EYE CONTACT LENS,1542-2321,1542-233X,2.3,0.562
FABULA,FABULA,0014-6242,1613-0464,0.2,0.218
FACIAL PLASTIC SURGERY,FACIAL PLAST SURG,0736-6825,1098-8793,1,0.357
FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA,FACIAL PLAST SURG CL,1064-7406,1558-1926,1.3,0.538
FACIES,FACIES,0172-9179,1612-4820,1.8,0.544
FAMILIAL CANCER,FAM CANCER,1389-9600,1573-7292,2.2,0.823
FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,FAM SOC,1044-3894,1945-1350,0.9,0.379
FAMILIES RELATIONSHIPS AND SOCIETIES,FAM RELATSH SOC,2046-7435,2046-7443,1.4,0.354
FAMILIES SYSTEMS & HEALTH,FAM SYST HEALTH,1091-7527,1939-0602,1.3,0.542
FAMILY & COMMUNITY HEALTH,FAM COMMUNITY HEALTH,0160-6379,1550-5057,2.3,0.808
FAMILY BUSINESS REVIEW,FAM BUS REV,0894-4865,1741-6248,8.8,2.406
FAMILY MEDICINE,FAM MED,0742-3225,1938-3800,1.9,0.631
FAMILY PRACTICE,FAM PRACT,0263-2136,1460-2229,2.2,0.714
FAMILY PROCESS,FAM PROCESS,0014-7370,1545-5300,3.9,1.019
FAMILY RELATIONS,FAM RELAT,0197-6664,1741-3729,2.2,0.776
FARADAY DISCUSSIONS,FARADAY DISCUSS,1359-6640,1364-5498,3.4,0.887
FARMACIA,FARMACIA,0014-8237,2065-0019,1.6,0.083
FASEB JOURNAL,FASEB J,0892-6638,1530-6860,4.8,1.184
FASHION PRACTICE-THE JOURNAL OF DESIGN CREATIVE PROCESS & THE FASHION INDUSTRY,FASHION PRACT,1756-9370,1756-9389,1.1,0.266
FASHION THEORY-THE JOURNAL OF DRESS BODY & CULTURE,FASH THEORY,1362-704X,1751-7419,1,0.646
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,FATIGUE FRACT ENG M,8756-758X,1460-2695,3.7,0.568
FEBS JOURNAL,FEBS J,1742-464X,1742-4658,5.4,1.408
FEBS LETTERS,FEBS LETT,0014-5793,1873-3468,3.5,1.092
FEBS OPEN BIO,FEBS OPEN BIO,2211-5463,2211-5463,2.6,0.506
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,FED RESERVE BANK ST,0014-9187,2163-4505,1.7,0.857
FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY,FEMALE PELVIC MED RE,2151-8378,2154-4212,1.6,0.556
FEMINISM & PSYCHOLOGY,FEM PSYCHOL,0959-3535,1461-7161,5.4,1.673
FEMINIST CRIMINOLOGY,FEM CRIMINOL,1557-0851,1557-086X,2.5,0.931
FEMINIST ECONOMICS,FEM ECON,1354-5701,1466-4372,4.6,1.621
FEMINIST LEGAL STUDIES,FEM LEGAL STUD,0966-3622,1572-8455,2.8,0.839
FEMINIST REVIEW,FEMINIST REV,0141-7789,1466-4380,1.8,1.137
FEMINIST THEORY,FEM THEOR,1464-7001,1741-2773,2.1,1.237
FEMS MICROBIOLOGY ECOLOGY,FEMS MICROBIOL ECOL,0168-6496,1574-6941,4.2,1.036
FEMS MICROBIOLOGY LETTERS,FEMS MICROBIOL LETT,0378-1097,1574-6968,2.1,0.582
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,0168-6445,1574-6976,11.3,4.252
FEMS YEAST RESEARCH,FEMS YEAST RES,1567-1356,1567-1364,3.2,0.694
FERROELECTRICS,FERROELECTRICS,0015-0193,1563-5112,0.8,0.111
FERROELECTRICS LETTERS SECTION,FERROELECTRICS LETT,0731-5171,1563-5228,0.4,0.069
FERTILITY AND STERILITY,FERTIL STERIL,0015-0282,1556-5653,6.7,1.849
FETAL AND PEDIATRIC PATHOLOGY,FETAL PEDIATR PATHOL,1551-3815,1551-3823,1.1,0.208
FETAL DIAGNOSIS AND THERAPY,FETAL DIAGN THER,1015-3837,1421-9964,2.2,0.649
FEW-BODY SYSTEMS,FEW-BODY SYST,0177-7963,1432-5411,1.6,0.237
FIBER AND INTEGRATED OPTICS,FIBER INTEGRATED OPT,0146-8030,1096-4681,1.7,0.161
FIBERS AND POLYMERS,FIBER POLYM,1229-9197,1875-0052,2.5,0.298
FIBONACCI QUARTERLY,FIBONACCI QUART,0015-0517,0015-0517,0.6,0.269
FIBRE CHEMISTRY,FIBRE CHEM+,0015-0541,1573-8493,0.5,0.035
FIBRES & TEXTILES IN EASTERN EUROPE,FIBRES TEXT EAST EUR,1230-3666,2300-7354,0.9,0.123
FIDDLEHEAD,FIDDLEHEAD,0015-0630,0015-0630,0.2,0.017
FIELD CROPS RESEARCH,FIELD CROP RES,0378-4290,1872-6852,5.8,1.073
FIELD METHODS,FIELD METHOD,1525-822X,1552-3969,1.7,1.336
FILM CRITICISM,FILM CRITICISM,0163-5069,0163-5069,0.1,0.077
FILM QUARTERLY,FILM QUART,0015-1386,1533-8630,0.5,0.754
FILOMAT,FILOMAT,0354-5180,0354-5180,0.8,0.257
FILOSOFIA UNISINOS,FILOS UNISINOS,1519-5023,1984-8234,0.1,0.04
FILOSOFICKY CASOPIS,FILOS CAS,0015-1831,N/A,0.1,0.042
FILOSOFIJA-SOCIOLOGIJA,FILOS-SOCIOL,0235-7186,0235-7186,0.3,0.082
FILOZOFIA,FILOZOFIA,0046-385X,2585-7061,0.3,0.052
FILOZOFIA NAUKI,FILOZ NAUK,1230-6894,N/A,0.1,0.094
FILOZOFSKA ISTRAZIVANJA,FILOZ ISTRAZ,0351-4706,0351-4706,0.1,0.012
FILOZOFSKI VESTNIK,FILOZ VESTN,0353-4510,1581-1239,0.1,0.049
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,FINANC UVER,0015-1920,0015-1920,0.5,0.086
FINANCE AND STOCHASTICS,FINANC STOCH,0949-2984,1432-1122,1.7,1.563
FINANCE RESEARCH LETTERS,FINANC RES LETT,1544-6123,1544-6131,10.4,1.32
FINANCIAL ANALYSTS JOURNAL,FINANC ANAL J,0015-198X,1938-3312,2.8,1.59
FINANCIAL MANAGEMENT,FINANC MANAGE,0046-3892,1755-053X,2.8,1.335
FINANZARCHIV,FINANZARCHIV,0015-2218,1614-0974,0.5,0.192
FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEM ANAL DES,0168-874X,1872-6925,3.1,0.786
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS TH APP,1071-5797,1090-2465,1,0.728
FIRE AND MATERIALS,FIRE MATER,0308-0501,1099-1018,1.9,0.374
FIRE ECOLOGY,FIRE ECOL,1933-9747,1933-9747,5.1,1.036
FIRE SAFETY JOURNAL,FIRE SAFETY J,0379-7112,1873-7226,3.1,0.63
FIRE TECHNOLOGY,FIRE TECHNOL,0015-2684,1572-8099,3.4,0.59
FIRST LANGUAGE,FIRST LANG,0142-7237,1740-2344,1.9,0.639
FISCAL STUDIES,FISC STUD,0143-5671,1475-5890,7.3,2.148
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,1050-4648,1095-9947,4.7,0.605
FISH AND FISHERIES,FISH FISH,1467-2960,1467-2979,6.7,1.866
FISH PATHOLOGY,FISH PATHOL,0388-788X,1881-7335,0.6,0.112
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,0920-1742,1573-5168,2.9,0.473
FISHERIES,FISHERIES,0363-2415,1548-8446,2.8,0.718
FISHERIES MANAGEMENT AND ECOLOGY,FISHERIES MANAG ECOL,0969-997X,1365-2400,2,0.458
FISHERIES OCEANOGRAPHY,FISH OCEANOGR,1054-6006,1365-2419,2.6,0.67
FISHERIES RESEARCH,FISH RES,0165-7836,1872-6763,2.4,0.521
FISHERIES SCIENCE,FISHERIES SCI,0919-9268,1444-2906,1.9,0.36
FISHERY BULLETIN,FISH B-NOAA,0090-0656,1937-4518,0.8,0.257
FITOTERAPIA,FITOTERAPIA,0367-326X,1873-6971,3.4,0.471
FLAVOUR AND FRAGRANCE JOURNAL,FLAVOUR FRAG J,0882-5734,1099-1026,2.6,0.317
FLEISCHWIRTSCHAFT,FLEISCHWIRTSCHAFT,0015-363X,0015-363X,0.3,0.016
FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,FLEX SERV MANUF J,1936-6582,1936-6590,2.7,0.563
FLORA,FLORA,0367-2530,1618-0585,1.9,0.391
FLORIDA ENTOMOLOGIST,FLA ENTOMOL,0015-4040,1938-5102,1.4,0.337
FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEAS INSTRUM,0955-5986,1873-6998,2.2,0.375
FLOW TURBULENCE AND COMBUSTION,FLOW TURBUL COMBUST,1386-6184,1573-1987,2.4,0.669
FLUCTUATION AND NOISE LETTERS,FLUCT NOISE LETT,0219-4775,1793-6780,1.8,0.206
FLUID DYNAMICS RESEARCH,FLUID DYN RES,0169-5983,1873-7005,1.5,0.331
FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBR,0378-3812,1879-0224,2.6,0.466
FLUORIDE,FLUORIDE,0015-4725,2253-4083,0.9,0.087
FLY,FLY,1933-6934,1933-6942,1.2,0.529
FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,FOCUS AUTISM DEV DIS,1088-3576,1538-4829,2,0.758
FOLIA BIOLOGICA,FOLIA BIOL-PRAGUE,0015-5500,0015-5500,0.6,0.195
FOLIA BIOLOGICA-KRAKOW,FOLIA BIOL-KRAKOW,0015-5497,1734-9168,0.7,0.091
FOLIA GEOBOTANICA,FOLIA GEOBOT,1211-9520,1874-9348,1.2,0.337
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,FOLIA HISTOCHEM CYTO,0239-8508,1897-5631,1.5,0.209
FOLIA LINGUISTICA,FOLIA LINGUIST,0165-4004,1614-7308,0.6,0.458
FOLIA MICROBIOLOGICA,FOLIA MICROBIOL,0015-5632,1874-9356,2.6,0.408
FOLIA MORPHOLOGICA,FOLIA MORPHOL,0015-5659,1644-3284,1.2,0.246
FOLIA NEUROPATHOLOGICA,FOLIA NEUROPATHOL,1641-4640,1509-572X,2,0.389
FOLIA PARASITOLOGICA,FOLIA PARASIT,0015-5683,1803-6465,1.6,0.395
FOLIA PHONIATRICA ET LOGOPAEDICA,FOLIA PHONIATR LOGO,1021-7762,1421-9972,1,0.32
FOLIA PRIMATOLOGICA,FOLIA PRIMATOL,0015-5713,1421-9980,1.9,0.376
FOLK LIFE-JOURNAL OF ETHNOLOGICAL STUDIES,FOLK LIFE,0430-8778,1759-670X,0.3,0.099
FOLK MUSIC JOURNAL,FOLK MUSIC J,0531-9684,N/A,0.4,0.087
FOLKLORE,FOLKLORE,0015-587X,1469-8315,0.4,0.355
FOLKLORE-ELECTRONIC JOURNAL OF FOLKLORE,FOLKLORE-EL J FOLKL,1406-0957,1406-0949,0.3,0.128
FONTES ARTIS MUSICAE,FONTES ARTIS MUSICAE,0015-6191,2471-156X,0.1,0.192
FOOD & FUNCTION,FOOD FUNCT,2042-6496,2042-650X,6.1,0.832
FOOD & NUTRITION RESEARCH,FOOD NUTR RES,1654-6628,1654-661X,3.3,0.692
FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE,FOOD ADDIT CONTAM B,1939-3210,1939-3229,2.9,0.441
FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT,FOOD ADDIT CONTAM A,1944-0049,1944-0057,2.9,0.456
FOOD ANALYTICAL METHODS,FOOD ANAL METHOD,1936-9751,1936-976X,2.9,0.41
FOOD AND BIOPROCESS TECHNOLOGY,FOOD BIOPROCESS TECH,1935-5130,1935-5149,5.6,0.671
FOOD AND BIOPRODUCTS PROCESSING,FOOD BIOPROD PROCESS,0960-3085,1744-3571,4.6,0.618
FOOD AND CHEMICAL TOXICOLOGY,FOOD CHEM TOXICOL,0278-6915,1873-6351,4.3,0.73
FOOD AND DRUG LAW JOURNAL,FOOD DRUG LAW J,1064-590X,1064-590X,0.2,0.142
FOOD AND ENVIRONMENTAL VIROLOGY,FOOD ENVIRON VIROL,1867-0334,1867-0342,3.4,0.606
FOOD AND NUTRITION BULLETIN,FOOD NUTR BULL,0379-5721,1564-8265,1.9,0.675
FOOD BIOPHYSICS,FOOD BIOPHYS,1557-1858,1557-1866,3,0.496
FOOD CHEMISTRY,FOOD CHEM,0308-8146,1873-7072,8.8,1.021
FOOD CONTROL,FOOD CONTROL,0956-7135,1873-7129,6,0.766
FOOD CULTURE & SOCIETY,FOOD CULT SOC,1552-8014,1751-7443,1,0.43
FOOD ENGINEERING REVIEWS,FOOD ENG REV,1866-7910,1866-7929,6.6,0.94
FOOD HYDROCOLLOIDS,FOOD HYDROCOLLOID,0268-005X,1873-7137,10.7,1.302
FOOD HYGIENE AND SAFETY SCIENCE,FOOD HYG SAFE SCI,0015-6426,N/A,0.3,0.047
FOOD MICROBIOLOGY,FOOD MICROBIOL,0740-0020,1095-9998,5.3,0.78
FOOD POLICY,FOOD POLICY,0306-9192,1873-5657,6.5,1.88
FOOD QUALITY AND PREFERENCE,FOOD QUAL PREFER,0950-3293,1873-6343,5.3,0.79
FOOD RESEARCH INTERNATIONAL,FOOD RES INT,0963-9969,1873-7145,8.1,0.981
FOOD REVIEWS INTERNATIONAL,FOOD REV INT,8755-9129,1525-6103,5.8,0.778
FOOD SCIENCE AND BIOTECHNOLOGY,FOOD SCI BIOTECHNOL,1226-7708,2092-6456,2.9,0.408
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,FOOD SCI TECHNOL INT,1082-0132,1532-1738,2.3,0.283
