JournalFullName,Journal,ISSN,2021IF,2021AI
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,CLIN PSYCHOL-SCI PR,0969-5893,6.333,2.78
Clinical Psychopharmacology and Neuroscience,CLIN PSYCHOPHARM NEU,1738-1088,3.731,0.741
CLINICAL RADIOLOGY,CLIN RADIOL,0009-9260,3.389,0.696
CLINICAL REHABILITATION,CLIN REHABIL,0269-2155,2.884,0.984
Clinical Research in Cardiology,CLIN RES CARDIOL,1861-0684,6.138,1.432
Clinical Respiratory Journal,CLIN RESPIR J,1752-6981,1.761,0.482
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,1080-0549,10.817,2.198
CLINICAL RHEUMATOLOGY,CLIN RHEUMATOL,0770-3198,3.65,0.748
CLINICAL SCIENCE,CLIN SCI,0143-5221,6.876,1.456
Clinical Simulation in Nursing,CLIN SIMUL NURS,1876-1399,2.856,0.661
CLINICAL SOCIAL WORK JOURNAL,CLIN SOC WORK J,0091-1674,2.591,0.624
Clinical Spine Surgery,CLIN SPINE SURG,2380-0186,1.723,0.675
CLINICAL THERAPEUTICS,CLIN THER,0149-2918,3.637,0.981
CLINICAL TOXICOLOGY,CLIN TOXICOL,1556-3650,3.738,0.887
CLINICAL TRANSPLANTATION,CLIN TRANSPLANT,0902-0063,3.456,0.869
Clinical Trials,CLIN TRIALS,1740-7745,2.599,1.639
Clinics,CLINICS,1807-5932,2.898,0.614
Clinics and Research in Hepatology and Gastroenterology,CLIN RES HEPATOL GAS,2210-7401,3.189,0.69
CLINICS IN CHEST MEDICINE,CLIN CHEST MED,0272-5231,4.967,1.148
Clinics in Colon and Rectal Surgery,CLIN COLON RECT SURG,1531-0043,2.403,0.782
CLINICS IN DERMATOLOGY,CLIN DERMATOL,0738-081X,2.797,0.781
CLINICS IN GERIATRIC MEDICINE,CLIN GERIATR MED,0749-0690,3.529,1.182
CLINICS IN LABORATORY MEDICINE,CLIN LAB MED,0272-2712,2.172,0.585
Clinics in Liver Disease,CLIN LIVER DIS,1089-3261,6.265,1.738
CLINICS IN PERINATOLOGY,CLIN PERINATOL,0095-5108,2.642,1.1
CLINICS IN PLASTIC SURGERY,CLIN PLAST SURG,0094-1298,2.53,0.619
Clinics in Podiatric Medicine and Surgery,CLIN PODIATR MED SUR,0891-8422,0.769,0.264
CLINICS IN SPORTS MEDICINE,CLIN SPORT MED,0278-5919,2.186,0.64
Cliometrica,CLIOMETRICA,1863-2505,1.583,1.419
Clothing and Textiles Research Journal,CLOTH TEXT RES J,0887-302X,0.985,0.257
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,1386-7857,2.303,0.297
CMC-Computers Materials & Continua,CMC-COMPUT MATER CON,1546-2218,3.86,0.412
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,1526-1492,2.027,0.28
CNS & Neurological Disorders-Drug Targets,CNS NEUROL DISORD-DR,1871-5273,2.824,0.498
CNS DRUGS,CNS DRUGS,1172-7047,6.497,1.607
CNS Neuroscience & Therapeutics,CNS NEUROSCI THER,1755-5930,7.035,1.129
CNS SPECTRUMS,CNS SPECTRUMS,1092-8529,4.604,1.098
COASTAL ENGINEERING,COAST ENG,0378-3839,5.427,1.049
COASTAL ENGINEERING JOURNAL,COAST ENG J,2166-4250,3.289,0.705
COASTAL MANAGEMENT,COAST MANAGE,0892-0753,3.925,0.78
Coatings,COATINGS,2079-6412,3.236,0.41
Cochrane Database of Systematic Reviews,COCHRANE DB SYST REV,1469-493X,12.008,3.869
COGNITION,COGNITION,0010-0277,4.011,1.849
COGNITION & EMOTION,COGNITION EMOTION,0269-9931,2.72,1.11
COGNITION AND INSTRUCTION,COGNITION INSTRUCT,0737-0008,3.356,2.429
Cognition Technology & Work,COGN TECHNOL WORK,1435-5558,2.818,0.516
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,1530-7026,3.526,1.186
Cognitive and Behavioral Neurology,COGN BEHAV NEUROL,1543-3633,1.59,0.431
COGNITIVE AND BEHAVIORAL PRACTICE,COGN BEHAV PRACT,1077-7229,3.274,0.824
COGNITIVE BEHAVIOUR THERAPY,COGN BEHAV THERAPY,1650-6073,3.928,1.599
Cognitive Computation,COGN COMPUT,1866-9956,4.89,0.77
COGNITIVE DEVELOPMENT,COGNITIVE DEV,0885-2014,1.897,0.901
COGNITIVE LINGUISTICS,COGN LINGUIST,0936-5907,1.796,1.244
Cognitive Neurodynamics,COGN NEURODYNAMICS,1871-4080,3.473,0.624
Cognitive Neuropsychiatry,COGN NEUROPSYCHIATRY,1354-6805,1.957,0.655
COGNITIVE NEUROPSYCHOLOGY,COGN NEUROPSYCHOL,0264-3294,3.75,1.202
Cognitive Neuroscience,COGN NEUROSCI-UK,1758-8928,2.55,1.121
Cognitive Processing,COGN PROCESS,1612-4782,1.523,0.658
COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOL,0010-0285,3.746,1.934
Cognitive Research-Principles and Implications,COGN RES,2365-7464,3.657,1.386
COGNITIVE SCIENCE,COGNITIVE SCI,0364-0213,2.617,1.316
Cognitive Systems Research,COGN SYST RES,2214-4366,4.541,0.581
COGNITIVE THERAPY AND RESEARCH,COGNITIVE THER RES,0147-5916,3.091,1.053
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,0165-232X,4.427,0.783
Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,1943-0264,9.708,4.814
Cold Spring Harbor Perspectives in Medicine,CSH PERSPECT MED,2157-1422,5.159,3.095
Cold War History,COLD WAR HIST,1468-2745,0.746,0.881
COLEOPTERISTS BULLETIN,COLEOPTS BULL,0010-065X,0.795,0.176
Collabra-Psychology,COLLABRA-PSYCHOL,2474-7394,3.098,1.413
Collectanea Mathematica,COLLECT MATH,0010-0757,1.349,0.797
COLLEGE & RESEARCH LIBRARIES,COLL RES LIBR,0010-0870,1.814,0.603
Collegian,COLLEGIAN,1322-7696,1.807,0.476
Colloid and Interface Science Communications,COLLOID INTERFAC SCI,2215-0382,5.633,0.56
COLLOID AND POLYMER SCIENCE,COLLOID POLYM SCI,0303-402X,2.434,0.278
COLLOID JOURNAL,COLLOID J+,1061-933X,1.119,0.117
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,COLLOID SURFACE A,0927-7757,5.518,0.559
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,0927-7765,5.999,0.706
COLLOQUIUM MATHEMATICUM,COLLOQ MATH-WARSAW,0010-1354,0.631,0.419
Colombia Medica,COLOMB MEDICA,1657-9534,1.741,0.337
COLOR RESEARCH AND APPLICATION,COLOR RES APPL,0361-2317,1.668,0.248
COLORATION TECHNOLOGY,COLOR TECHNOL,1472-3581,2.049,0.256
Colorectal Disease,COLORECTAL DIS,1462-8910,3.917,1.033
COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,COLUMBIA J LAW SOC P,0010-1923,0.444,0.11
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,COLUMBIA J TRANS LAW,0010-1931,1.074,0.342
COLUMBIA LAW REVIEW,COLUMBIA LAW REV,0010-1958,3.899,2.03
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,COMB CHEM HIGH T SCR,1386-2073,1.714,0.214
COMBINATORICA,COMBINATORICA,0209-9683,1.289,1.502
COMBINATORICS PROBABILITY & COMPUTING,COMB PROBAB COMPUT,0963-5483,1.211,1.276
COMBUSTION AND FLAME,COMBUST FLAME,0010-2180,5.767,1.015
COMBUSTION EXPLOSION AND SHOCK WAVES,COMBUST EXPLO SHOCK+,0010-5082,1.085,0.186
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,0010-2202,2.133,0.419
COMBUSTION THEORY AND MODELLING,COMBUST THEOR MODEL,1364-7830,1.644,0.459
COMMENTARII MATHEMATICI HELVETICI,COMMENT MATH HELV,0010-2571,1.038,1.643
COMMENTS ON INORGANIC CHEMISTRY,COMMENT INORG CHEM,0260-3594,5.476,0.925
COMMON MARKET LAW REVIEW,COMMON MKT LAW REV,0165-0750,2.02,1.245
Communication & Sport,COMMUN SPORT,2167-4795,3.183,0.677
Communication and Critical-Cultural Studies,COMMUN CRIT-CULT STU,1479-1420,2.426,1.01
Communication Culture & Critique,COMMUN CULT CRIT,1753-9129,2.052,1.013
Communication Disorders Quarterly,COMMUN DISORD Q,1525-7401,0.764,0.336
Communication Methods and Measures,COMMUN METHODS MEAS,1931-2458,8.044,3.208
COMMUNICATION MONOGRAPHS,COMMUN MONOGR,0363-7751,2.695,2.828
COMMUNICATION RESEARCH,COMMUN RES,0093-6502,6.3,2.252
COMMUNICATION THEORY,COMMUN THEOR,1050-3293,4.111,2.054
Communications Biology,COMMUN BIOL,2399-3642,6.548,2.168
Communications Chemistry,COMMUN CHEM,2399-3669,7.211,1.702
COMMUNICATIONS IN ALGEBRA,COMMUN ALGEBRA,0092-7872,0.617,0.393
COMMUNICATIONS IN ANALYSIS AND GEOMETRY,COMMUN ANAL GEOM,1019-8385,1.078,1.39
Communications in Applied Mathematics and Computational Science,COMM APP MATH COM SC,1559-3940,1.438,0.841
Communications in Computational Physics,COMMUN COMPUT PHYS,1815-2406,3.791,0.893
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,COMMUN CONTEMP MATH,0219-1997,1.708,1.246
COMMUNICATIONS IN MATHEMATICAL PHYSICS,COMMUN MATH PHYS,0010-3616,2.361,2.05
Communications in Mathematical Sciences,COMMUN MATH SCI,1539-6746,1.265,0.872
Communications in Mathematics and Statistics,COMMUN MATH STAT,2194-6701,0.868,1.381
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,1007-5704,4.186,0.853
Communications in Number Theory and Physics,COMMUN NUMBER THEORY,1931-4523,1.897,1.607
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,COMMUN PART DIFF EQ,0360-5302,1.95,1.518
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,COMMUN SOIL SCI PLAN,0010-3624,1.58,0.225
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,COMMUN STAT-SIMUL C,0361-0918,1.162,0.315
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,COMMUN STAT-THEOR M,0361-0926,0.863,0.273
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,0253-6102,2.877,0.334
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,14.065,4.409
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,COMMUN PUR APPL ANAL,1534-0392,1.273,0.646
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,0010-3640,2.774,3.451
Communications Physics,COMMUN PHYS-UK,2399-3650,6.497,2.483
Communications-European Journal of Communication Research,COMMUNICATIONS-GER,0341-2059,1.339,0.737
COMMUNIST AND POST-COMMUNIST STUDIES,COMMUNIS POST-COMMUN,0967-067X,0.654,0.453
COMMUNITY DENTAL HEALTH,COMMUNITY DENT HLTH,0265-539X,1.33,0.438
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,COMMUNITY DENT ORAL,0301-5661,2.489,0.694
COMMUNITY DEVELOPMENT JOURNAL,COMMUNITY DEV J,0010-3802,1.514,0.317
COMMUNITY ECOLOGY,COMMUNITY ECOL,1585-8553,1.803,0.406
COMMUNITY MENTAL HEALTH JOURNAL,COMMUNITY MENT HLT J,0010-3853,2.469,0.602
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,1095-6433,2.888,0.54
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,1096-4959,2.495,0.431
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,1532-0456,4.52,0.594
Comparative Biochemistry and Physiology D-Genomics & Proteomics,COMP BIOCHEM PHYS D,1744-117X,3.306,0.497
Comparative Cytogenetics,COMP CYTOGENET,1993-0771,1.182,0.319
COMPARATIVE EDUCATION,COMP EDUC,0305-0068,2.861,0.86
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,0010-4086,2.037,0.939
Comparative European Politics,COMP EUR POLIT,1472-4790,1.845,0.853
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,COMP IMMUNOL MICROB,0147-9571,2.729,0.428
COMPARATIVE MEDICINE,COMPARATIVE MED,1532-0820,1.565,0.366
COMPARATIVE PARASITOLOGY,COMP PARASITOL,1525-2647,0.653,0.136
COMPARATIVE POLITICAL STUDIES,COMP POLIT STUD,0010-4140,3.955,3.466
COMPARATIVE POLITICS,COMP POLIT,0010-4159,2.177,1.702
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,COMP STUD SOC HIST,0010-4175,1.016,1.073
Compare-A Journal of Comparative and International Education,COMPARE,0305-7925,1.879,0.638
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,0332-1649,0.808,0.11
Competition & Change,COMPET CHANG,1024-5294,3.062,1.124
Complementary Medicine Research,COMPLEMENT MED RES,2504-2092,1.449,0.211
Complementary Therapies in Clinical Practice,COMPLEMENT THER CLIN,1744-3881,3.577,0.59
COMPLEMENTARY THERAPIES IN MEDICINE,COMPLEMENT THER MED,0965-2299,3.335,0.578
Complex & Intelligent Systems,COMPLEX INTELL SYST,2199-4536,6.7,0.994
Complex Analysis and Operator Theory,COMPLEX ANAL OPER TH,1661-8254,0.819,0.382
Complex Variables and Elliptic Equations,COMPLEX VAR ELLIPTIC,1747-6933,0.765,0.395
COMPLEXITY,COMPLEXITY,1076-2787,2.121,0.366
COMPOSITE INTERFACES,COMPOS INTERFACE,0927-6440,2.839,0.337
COMPOSITE STRUCTURES,COMPOS STRUCT,0263-8223,6.603,0.892
COMPOSITES COMMUNICATIONS,COMPOS COMMUN,2452-2139,7.685,0.879
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,COMPOS PART A-APPL S,1359-835X,9.463,1.317
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,1359-8368,11.322,1.427
COMPOSITES SCIENCE AND TECHNOLOGY,COMPOS SCI TECHNOL,0266-3538,9.879,1.228
COMPOSITIO MATHEMATICA,COMPOS MATH,0010-437X,1.387,2.367
COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,1065-657X,1.188,0.227
Comprehensive Physiology,COMPR PHYSIOL,2040-4603,8.915,3.121
COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,0010-440X,7.211,1.283
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,1541-4337,15.786,2.341
Comptabilite Controle Audit,COMPTAB CONTROL AUDI,1262-2788,0.75,0.086
COMPTES RENDUS BIOLOGIES,CR BIOL,1631-0691,2.357,0.503
COMPTES RENDUS CHIMIE,CR CHIM,1631-0748,2.55,0.446
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,1310-1331,0.326,0.047
COMPTES RENDUS GEOSCIENCE,CR GEOSCI,1631-0713,1.424,0.65
COMPTES RENDUS MATHEMATIQUE,CR MATH,1631-073X,0.773,0.584
COMPTES RENDUS MECANIQUE,CR MECANIQUE,1631-0721,1.437,0.41
COMPTES RENDUS PALEVOL,CR PALEVOL,1631-0683,2.326,0.653
COMPTES RENDUS PHYSIQUE,CR PHYS,1631-0705,1.622,1.16
COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,2238-3603,2.998,0.478
Computational and Mathematical Methods in Medicine,COMPUT MATH METHOD M,1748-670X,2.809,0.538
Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,1381-298X,1.902,0.348
Computational and Structural Biotechnology Journal,COMPUT STRUCT BIOTEC,2001-0370,6.155,1.474
Computational and Theoretical Chemistry,COMPUT THEOR CHEM,2210-271X,2.292,0.257
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1476-9271,3.737,0.416
COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,1016-3328,0.962,1.23
Computational Economics,COMPUT ECON,0927-7099,1.741,0.342
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,0925-7721,0.455,0.303
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,1420-0597,2.948,0.847
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,0824-7935,2.142,0.331
Computational Intelligence and Neuroscience,COMPUT INTEL NEUROSC,1687-5265,3.12,0.65
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,7.778,2.123
COMPUTATIONAL MATERIALS SCIENCE,COMP MATER SCI,0927-0256,3.572,0.681
COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,COMP MATH MATH PHYS+,0965-5425,0.769,0.242
COMPUTATIONAL MECHANICS,COMPUT MECH,0178-7675,4.391,1.073
Computational Methods and Function Theory,COMPUT METH FUNCT TH,1617-9447,1.155,0.501
Computational Methods in Applied Mathematics,COMPUT METH APPL MAT,1609-4840,1.489,0.73
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,0926-6003,2.005,1.046
Computational Particle Mechanics,COMPUT PART MECH,2196-4378,3.116,0.687
COMPUTATIONAL STATISTICS,COMPUTATION STAT,0943-4062,1.405,0.528
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,0167-9473,2.035,1.051
COMPUTER,COMPUTER,0018-9162,2.256,1.048
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,1.368,0.562
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,1546-4261,1.01,0.263
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,2.109,0.24
Computer Assisted Language Learning,COMPUT ASSIST LANG L,0958-8221,5.964,1.195
Computer Assisted Surgery,COMPUT ASSIST SURG,2469-9322,2.357,0.351
COMPUTER COMMUNICATIONS,COMPUT COMMUN,0140-3664,5.047,0.649
COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,0167-7055,2.363,1.381
COMPUTER JOURNAL,COMPUT J,0010-4620,1.762,0.349
Computer Law & Security Review,COMPUT LAW SECUR REV,0267-3649,2.707,0.773
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,0169-2607,7.027,1.055
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,0045-7825,6.588,1.586
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,1025-5842,1.669,0.411
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0148-9267,0.688,N/A
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0148-9267,N/A,0.23
Computer Networks,COMPUT NETW,1389-1286,5.493,0.758
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,0010-4655,4.717,1.673
Computer Science and Information Systems,COMPUT SCI INF SYST,1820-0214,1.17,0.115
Computer Science Review,COMPUT SCI REV,1574-0137,8.757,2.127
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,0885-2308,3.252,0.684
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,3.721,0.44
Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,COMPUT SUPP COOP W J,0925-9724,2.8,0.601
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,4.397,0.218
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,4.886,1.09
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,1093-9687,10.066,1.778
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,3.652,0.935
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,0895-6111,7.422,1.184
COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,0098-1354,4.13,0.68
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,11.182,2.367
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,4.152,0.541
COMPUTERS & FLUIDS,COMPUT FLUIDS,0045-7930,3.077,0.925
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,0098-3004,5.168,1.039
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,0097-8493,1.821,0.669
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,0360-8352,7.18,1.055
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,0898-1221,3.218,0.808
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,0305-0548,5.159,1.104
COMPUTERS & SECURITY,COMPUT SECUR,0167-4048,5.105,0.825
COMPUTERS & STRUCTURES,COMPUT STRUCT,0045-7949,5.372,1.098
Computers and Concrete,COMPUT CONCRETE,1598-8198,7.628,0.495
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,0168-1699,6.757,0.932
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,0266-352X,5.218,1.158
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,COMPUT ENVIRON URBAN,0198-9715,6.454,1.201
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,6.698,0.954
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,0747-5632,8.957,2.041
COMPUTERS IN INDUSTRY,COMPUT IND,0166-3615,11.245,1.395
COMPUTING,COMPUTING,0010-485X,2.42,0.371
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,0.455,0.076
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,1521-9615,2.152,0.668
Comunicar,COMUNICAR,1134-3478,5.725,1.33
CONCEPTS IN MAGNETIC RESONANCE PART A,CONCEPT MAGN RESON A,1546-6086,0.643,0.378
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,CONCEPT MAGN RESON B,1552-5031,1.2,0.377
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,1532-0626,1.831,0.231
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1063-293X,2.118,0.18
Condensed Matter Physics,CONDENS MATTER PHYS,1607-324X,0.75,0.138
CONDOR,CONDOR,0010-5422,3.043,0.768
Conflict and Health,CONFL HEALTH,1752-1505,4.554,1.538
CONFLICT MANAGEMENT AND PEACE SCIENCE,CONFLICT MANAG PEACE,0738-8942,1.819,1.673
CONGENITAL ANOMALIES,CONGENIT ANOM,0914-3505,1.474,0.485
Congenital Heart Disease,CONGENIT HEART DIS,1747-079X,2.419,0.798
CONNECTION SCIENCE,CONNECT SCI,0954-0091,N/A,0.463
CONNECTIVE TISSUE RESEARCH,CONNECT TISSUE RES,0300-8207,3.342,0.672
CONSCIOUSNESS AND COGNITION,CONSCIOUS COGN,1053-8100,2.728,0.939
Conservation & Society,CONSERV SOC,0972-4923,2.492,0.997
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,7.563,2.003
CONSERVATION GENETICS,CONSERV GENET,1566-0621,3.092,0.673
Conservation Genetics Resources,CONSERV GENET RESOUR,1877-7252,0.991,0.177
Conservation Letters,CONSERV LETT,1755-263X,10.068,2.781
Conservation Physiology,CONSERV PHYSIOL,2051-1434,3.252,0.848
Conservation Science and Practice,CONSERV SCI PRACT,2578-4854,3.57,0.981
CONSTRAINTS,CONSTRAINTS,1383-7133,0.583,0.586
CONSTRUCTION AND BUILDING MATERIALS,CONSTR BUILD MATER,0950-0618,7.693,0.895
CONSTRUCTIVE APPROXIMATION,CONSTR APPROX,0176-4276,1.779,1.171
Consumption Markets & Culture,CONSUMP MARK CULT,1025-3866,2.46,0.794
CONTACT DERMATITIS,CONTACT DERMATITIS,0105-1873,6.419,0.987
Contact Lens & Anterior Eye,CONTACT LENS ANTERIO,1367-0484,3.946,0.605
CONTEMPORARY ACCOUNTING RESEARCH,CONTEMP ACCOUNT RES,0823-9150,4.041,2.182
Contemporary Clinical Trials,CONTEMP CLIN TRIALS,1551-7144,2.261,1.07
CONTEMPORARY ECONOMIC POLICY,CONTEMP ECON POLICY,1074-3529,1.212,0.573
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,CONTEMP EDUC PSYCHOL,0361-476X,6.922,2.192
Contemporary European History,CONTEMP EUR HIST,0960-7773,0.962,0.827
Contemporary Nurse,CONTEMP NURSE,1037-6178,2.139,0.448
CONTEMPORARY PACIFIC,CONTEMP PACIFIC,1043-898X,1.024,0.404
CONTEMPORARY PHYSICS,CONTEMP PHYS,0010-7514,6.842,2.785
Contemporary Political Theory,CONTEMP POLIT THEORY,1470-8914,1.009,0.859
Contemporary Politics,CONTEMP POLIT,1356-9775,1.699,0.956
Contemporary Problems of Ecology,CONTEMP PROBL ECOL+,1995-4255,0.732,0.156
CONTEMPORARY PSYCHOANALYSIS,CONTEMP PSYCHOANAL,0010-7530,0.256,0.251
Contemporary Security Policy,CONTEMP SECUR POL,1352-3260,5.719,1.359
CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS,CONTEMP SOCIOL,0094-3061,0.357,0.45
Contemporary Southeast Asia,CONTEMP SE ASIA,0129-797X,1.114,0.607
CONTINENTAL SHELF RESEARCH,CONT SHELF RES,0278-4343,2.629,0.682
CONTINUITY AND CHANGE,CONTINUITY CHANGE,0268-4160,0.9,0.807
CONTINUUM MECHANICS AND THERMODYNAMICS,CONTINUUM MECH THERM,0935-1175,3.285,0.591
Continuum-Journal of Media & Cultural Studies,CONTINUUM-J MEDIA CU,1030-4312,2.139,0.765
CONTRACEPTION,CONTRACEPTION,0010-7824,3.051,1.346
Contrast Media & Molecular Imaging,CONTRAST MEDIA MOL I,1555-4309,3.009,0.618
Contributions of the Astronomical Observatory Skalnate Pleso,CONTRIB ASTRON OBS S,1335-1842,0.438,0.124
Contributions to Discrete Mathematics,CONTRIB DISCRET MATH,1715-0868,0.569,0.338
CONTRIBUTIONS TO INDIAN SOCIOLOGY,CONTRIB INDIAN SOC,0069-9667,0.938,0.522
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,CONTRIB MINERAL PETR,0010-7999,4.107,1.573
Contributions to Nephrology,CONTRIB NEPHROL,0302-5144,1.406,0.446
CONTRIBUTIONS TO PLASMA PHYSICS,CONTRIB PLASM PHYS,0863-1042,1.608,0.347
CONTRIBUTIONS TO ZOOLOGY,CONTRIB ZOOL,1383-4517,2.75,0.598
Control Engineering and Applied Informatics,CONTROL ENG APPL INF,1454-8658,1.299,0.102
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,0967-0661,4.057,0.832
Convergence-The International Journal of Research into New Media Technologies,CONVERGENCE-US,1354-8565,2.268,0.948
Convergencia-Revista de Ciencias Sociales,CONVERGENCIA,2448-5799,0.796,0.34
Cooperation and Conflict,COOP CONFL,0010-8367,2.31,1.245
